university,program_name,program_code,degree_level,course_name,course_name_original,course_code,credits,component,semester,description,prerequisites,assessment,academic_year,source_url,language
Yerevan State University,Data Science in Business,031101.19.7,Master,Տեղեկատվական տեխնոլոգիաները մասնագիտական ոլորտում (Փայթն),,1002,3.0,General,,,,,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian
Yerevan State University,Data Science in Business,031101.19.7,Master,Ռազմավարական պլանավորում,,1002,3.0,General,,,,,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian
Yerevan State University,Data Science in Business,031101.19.7,Master,Տվյալների վերլուծության մաթեմատիկական մեթոդներ և հաշվարկներ (անգլերեն լեզվով),,1002,6.0,Professional,,,,,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian
Yerevan State University,Data Science in Business,031101.19.7,Master,Մաթեմատիկա և հավանականությունների տեսություն տվյալագետների համար,,1002,6.0,Professional,,,,,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian
Yerevan State University,Data Science in Business,031101.19.7,Master,Բիզնես գործընթացները և տվյալների վիզուալիզացիա,,1002,3.0,Professional,,,,,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian
Yerevan State University,Data Science in Business,031101.19.7,Master,Տվյալների բազաների կառավարում,,1002,6.0,Professional,,,,,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian
Yerevan State University,Data Science in Business,031101.19.7,Master,Data Mining տեխնոլոգիա,,1002,3.0,Professional,,,,,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian
Yerevan State University,Data Science in Business,031101.19.7,Master,Մեքենայական ուսուցում,,1002,6.0,Professional,,,,,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian
Yerevan State University,Data Science in Business,031101.19.7,Master,Նեյրոնային ցանցեր և խորը ուսուցում,,1002,6.0,Professional,,,,,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian
Yerevan State University,Data Science in Business,031101.19.7,Master,Տվյալների շտեմարաններ և խողովակագիծ (Data Warehouse and Pipline),,1002,6.0,Professional,,,,,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian
