course_id,university,program_name,program_name_en,program_code,degree_level,course_code,course_name_original,course_name_en,credits,component,semester,description,description_en,prerequisites,assessment,academic_year,source_url,source_language,notes
NPUA-0001,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Ճարտ. և համակարգչային գրաֆիկա,Architecture and Computer Graphics,2.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0002,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Կիրառական մեխանիկա,Applied Mechanics,5.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0003,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Ընդհանուր էլեկտրատեխնիկա,General Electrical Engineering,5.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0004,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Մաթեմատիկական անալիզ 3,Mathematical Analysis 3,5.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0005,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,MATLAB ծրագրային փաթեթ 1,MATLAB Software Package 1,3.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0006,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Դիֆ. հավասարումներ,Differential Equations,4.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0007,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Կոմպլեքս անալիզ,Complex Analysis,5.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0008,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,"Հավանականությունների տեսություն և մաթ. վիճակագրություն 1,2","Theory of Probability and Mathematical Statistics 1,2",6.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0009,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Մաթ.ֆիզ. հավասարումներ,Mathematical Physics Equations,4.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0010,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Ֆունկցիոնալ անալիզ,Functional Analysis,4.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0011,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Մաթեմատիկական տրամաբանություն,Mathematical Logic,5.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0012,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Ալգորիթմների տեսություն,Theory of Algorithms,5.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0013,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,"Դիսկրետ մաթեմատիկա 1,2","Discrete Mathematics 1, 2",9.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0014,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,"Մաթեմատիկական ծրագրավորում 1,2","Mathematical Programming 1,2",10.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0015,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,"Թվային մեթոդներ 1,2","Digital Methods 1, 2",10.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0016,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Կիրառական դիֆերենցիալ երկրաչափություն,Applied Differential Geometry,5.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0017,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Կոդավորման տեսություն,Coding Theory,5.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0018,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Ինֆորմացիայի կիրառական տեսություն,Applied Theory of Information,4.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0019,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,"Ծրագրավորման հիմունքներ 5,6","Fundamentals of Programming 5,6",11.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0020,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Web ծրագրավորում,Web Programming,5.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0021,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,ԷՀՄ ճարտարապետություն,Architecture of EHMs,5.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0022,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Ծրագրավորման տեխնոլոգիաներ,Programming Technologies,5.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0023,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Համակարգային ծրագրավորում,System Programming,6.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0024,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Օպերացիոն համակարգեր,Operating Systems,5.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0025,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Քոմփյութերային երկրաչափություն,Computer Geometry,5.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0026,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Տվյալների բազաներ,Database Systems,3.0,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0027,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,Տվյալների կառուցվածքներ և Ալգորիթմներ,Data Structures and Algorithms,5.0,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
