method,university,program,degree,program_concepts,overlap,coverage_pct
tfidf,American University of Armenia,Computer Science,Bachelor,58,35,10.74
tfidf,American University of Armenia,Computer and Information Science,Master,73,40,12.27
tfidf,American University of Armenia,Data Science,Bachelor,47,27,8.28
tfidf,American University of Armenia,Engineering Sciences,Bachelor,47,19,5.83
tfidf,American University of Armenia,Environmental and Sustainability Sciences,Bachelor,60,15,4.6
tfidf,American University of Armenia,General Education,General,55,25,7.67
tfidf,American University of Armenia,Industrial Engineering and Systems Management,Master,47,23,7.06
tfidf,National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,7,3,0.92
tfidf,National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,20,13,3.99
tfidf,National University of Architecture and Construction of Armenia,Informatics (Computer Science),Master,15,9,2.76
tfidf,National University of Architecture and Construction of Armenia,Information Systems,Bachelor,16,9,2.76
tfidf,National University of Architecture and Construction of Armenia,Project Management (in Information Technologies),Master,10,7,2.15
tfidf,Russian-Armenian University,Applied Mathematics and Informatics,Bachelor,18,9,2.76
tfidf,Yerevan State University,Applied Statistics and Data Science,Bachelor,72,25,7.67
tfidf,Yerevan State University,Applied Statistics and Data Science,Master,46,25,7.67
tfidf,Yerevan State University,Blockchain and Digital Currencies,Master,15,5,1.53
tfidf,Yerevan State University,Data Processing in Physics and Artificial Intelligence,Bachelor,71,18,5.52
tfidf,Yerevan State University,Data Science in Business,Master,38,26,7.98
tfidf,Yerevan State University,Discrete Mathematics and Theoretical Informatics,Master,24,13,3.99
tfidf,Yerevan State University,Informatics and Applied Mathematics,Bachelor,59,14,4.29
tfidf,Yerevan State University,Informatics and Applied Mathematics (Part time),Bachelor,60,15,4.6
tfidf,Yerevan State University,Information Security,Bachelor,62,17,5.21
tfidf,Yerevan State University,Information Systems Development,Master,38,26,7.98
tfidf,Yerevan State University,Information Systems Management,Master,41,25,7.67
tfidf,Yerevan State University,"Mathematical and Software Development of Computing Machines, Complexes, Systems and Networks",Master,41,23,7.06
tfidf,Yerevan State University,Numerical Analysis and Mathematical Modelling,Master,32,15,4.6
tfidf,Yerevan State University,Radiophysics and Computer Technology,Bachelor,80,25,7.67
keybert,American University of Armenia,Computer Science,Bachelor,42,15,7.25
keybert,American University of Armenia,Computer and Information Science,Master,50,10,4.83
keybert,American University of Armenia,Data Science,Bachelor,30,5,2.42
keybert,American University of Armenia,Engineering Sciences,Bachelor,39,6,2.9
keybert,American University of Armenia,Environmental and Sustainability Sciences,Bachelor,42,2,0.97
keybert,American University of Armenia,General Education,General,37,3,1.45
keybert,American University of Armenia,Industrial Engineering and Systems Management,Master,27,5,2.42
keybert,National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,7,1,0.48
keybert,National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,24,8,3.86
keybert,National University of Architecture and Construction of Armenia,Informatics (Computer Science),Master,19,7,3.38
keybert,National University of Architecture and Construction of Armenia,Information Systems,Bachelor,21,1,0.48
keybert,National University of Architecture and Construction of Armenia,Project Management (in Information Technologies),Master,20,8,3.86
keybert,Russian-Armenian University,Applied Mathematics and Informatics,Bachelor,17,4,1.93
keybert,Yerevan State University,Applied Statistics and Data Science,Bachelor,64,6,2.9
keybert,Yerevan State University,Applied Statistics and Data Science,Master,33,6,2.9
keybert,Yerevan State University,Blockchain and Digital Currencies,Master,7,1,0.48
keybert,Yerevan State University,Data Processing in Physics and Artificial Intelligence,Bachelor,59,3,1.45
keybert,Yerevan State University,Data Science in Business,Master,37,10,4.83
keybert,Yerevan State University,Discrete Mathematics and Theoretical Informatics,Master,17,4,1.93
keybert,Yerevan State University,Informatics and Applied Mathematics,Bachelor,59,8,3.86
keybert,Yerevan State University,Informatics and Applied Mathematics (Part time),Bachelor,58,7,3.38
keybert,Yerevan State University,Information Security,Bachelor,57,5,2.42
keybert,Yerevan State University,Information Systems Development,Master,44,18,8.7
keybert,Yerevan State University,Information Systems Management,Master,38,11,5.31
keybert,Yerevan State University,"Mathematical and Software Development of Computing Machines, Complexes, Systems and Networks",Master,35,11,5.31
keybert,Yerevan State University,Numerical Analysis and Mathematical Modelling,Master,19,4,1.93
keybert,Yerevan State University,Radiophysics and Computer Technology,Bachelor,77,8,3.86
