esco_concept,job_doc_count,pct_of_jobs
SAP R3,22,3.2
PHP,19,2.7
Java (computer programming),18,2.6
TypeScript,16,2.3
protect personal data and privacy,12,1.7
SQL Server,11,1.6
DevOps,11,1.6
maintain responsive design,10,1.4
banking activities,10,1.4
CSS,9,1.3
Android (mobile operating systems),9,1.3
ASP.NET,8,1.1
work with playwrights,8,1.1
troubleshoot,8,1.1
sales activities,8,1.1
logging,8,1.1
woodworking tools,7,1.0
Ruby (computer programming),7,1.0
iOS,7,1.0
PostgreSQL,7,1.0
betting,7,1.0
handle incidents,6,0.9
interactive media,6,0.9
develop animations,6,0.9
Oracle Relational Database,6,0.9
develop automated software tests,6,0.9
migration,6,0.9
principles of animation,5,0.7
search engines,5,0.7
use scripting programming,5,0.7
work in shifts,5,0.7
meet deadlines,5,0.7
types of pipelines,5,0.7
perform backups,5,0.7
synthesise information,5,0.7
maintain privacy,5,0.7
sell tickets,5,0.7
cooperate with colleagues,5,0.7
engage with stakeholders,5,0.7
customer service,5,0.7
id Tech,4,0.6
solve technical problems,4,0.6
process payments,4,0.6
stock market,4,0.6
scan photos,4,0.6
real estate market,3,0.4
fraud detection,3,0.4
property law,3,0.4
plan schedule,3,0.4
use access control software,3,0.4
