role,n_jobs,rank,skill,doc_count,pct_of_role,source
DevOps / Cloud,52,1,Kubernetes,37,71.2,Tech
DevOps / Cloud,52,2,DevOps,31,59.6,ESCO
DevOps / Cloud,52,3,Amazon Web Services,30,57.7,Tech
DevOps / Cloud,52,4,Docker,26,50.0,Tech
DevOps / Cloud,52,5,Terraform,25,48.1,Tech
DevOps / Cloud,52,6,ICT system programming,22,42.3,ESCO
DevOps / Cloud,52,7,CI/CD,22,42.3,Tech
DevOps / Cloud,52,8,computer programming,21,40.4,ESCO
DevOps / Cloud,52,9,Python,21,40.4,ESCO
DevOps / Cloud,52,10,Microsoft Azure,20,38.5,Tech
DevOps / Cloud,52,11,Google Cloud,18,34.6,Tech
DevOps / Cloud,52,12,algorithms,9,17.3,ESCO
DevOps / Cloud,52,13,PostgreSQL,8,15.4,Tech
DevOps / Cloud,52,14,Ansible,7,13.5,Tech
DevOps / Cloud,52,15,Jenkins,6,11.5,ESCO
Data / ML / AI,62,1,Python,51,82.3,ESCO
Data / ML / AI,62,2,machine learning,31,50.0,ESCO
Data / ML / AI,62,3,Microsoft Azure,29,46.8,Tech
Data / ML / AI,62,4,Amazon Web Services,27,43.5,Tech
Data / ML / AI,62,5,Google Cloud,26,41.9,Tech
Data / ML / AI,62,6,data science,24,38.7,ESCO
Data / ML / AI,62,7,LLM / GenAI,24,38.7,Tech
Data / ML / AI,62,8,PyTorch,23,37.1,Tech
Data / ML / AI,62,9,Docker,18,29.0,Tech
Data / ML / AI,62,10,digital data processing,16,25.8,ESCO
Data / ML / AI,62,11,process data,16,25.8,ESCO
Data / ML / AI,62,12,Kubernetes,16,25.8,Tech
Data / ML / AI,62,13,TensorFlow,14,22.6,Tech
Data / ML / AI,62,14,CI/CD,13,21.0,Tech
Data / ML / AI,62,15,data engineering,11,17.7,ESCO
Backend,159,1,.NET / C#,54,34.0,Tech
Backend,159,2,CI/CD,51,32.1,Tech
Backend,159,3,ICT project management methodologies,50,31.4,ESCO
Backend,159,4,Amazon Web Services,50,31.4,Tech
Backend,159,5,Google Cloud,46,28.9,Tech
Backend,159,6,Microsoft Azure,45,28.3,Tech
Backend,159,7,database,42,26.4,ESCO
Backend,159,8,Docker,37,23.3,Tech
Backend,159,9,Microservices,37,23.3,Tech
Backend,159,10,DevOps,36,22.6,ESCO
Backend,159,11,PostgreSQL,34,21.4,Tech
Backend,159,12,Node.js,33,20.8,Tech
Backend,159,13,Kubernetes,31,19.5,Tech
Backend,159,14,Java,28,17.6,ESCO
