source,source_type,source_url,job_title,company_name,location,employment_type,seniority_level,industries,posting_date,deadline,skills_tags,full_text,it_filter_decision,it_role_group,it_filter_reason,it_tech_text_score
linkedin,aggregator,https://am.linkedin.com/jobs/view/application-support-engineer-l2-at-novacard-4364642280?refId=iPWmShRkQAC5eHSv2RVE4A%3D%3D&trackingId=ctjVySd0Vg%2B1U2g02ZTqTg%3D%3D&position=25&pageNum=0,Application Support Engineer (L2),NOVACARD,Armenia,Full-time,Mid-Senior level,Engineering Services,2026-01-20,,,"At NOVACARD , we’re redefining how people use credit.

We are the first interest-free and no-annual-fee credit card in Mexico, designed to simplify personal finances and give users complete control - all from a mobile app. With NOVACARD, users can access up to $200,000 MXN in credit, only pay when they use it, and manage everything digitally in under 5 minutes. Our mission is to empower people to make smarter financial decisions by offering flexibility, transparency, and the freedom they need to reach their goals. Simple finances, big goals.

About the Role:

We are looking for an Application Support Engineer (L2) to ensure the stability and performance of business-critical applications by investigating incidents, analyzing system behavior, and resolving complex technical issues. You will collaborate with cross-functional teams to identify root causes and improve support processes, requiring strong analytical skills, solid SQL knowledge, and confident communication in English in a production environment.

Key Responsibilities:

Providing second-line technical support for company applications (L2)Monitoring system performance and availabilityRegistering incoming tickets and performing initial analysisResolving incidents and service requests related to company applicationsCollaborating with engineers and specialists from other teams to resolve issuesParticipating in the incident management processDocumenting solutions and maintaining support documentation


Key Requirements:

English level B2 or higher (ability to read logs and technical documentation and communicate with clients)Strong T-SQL skillsBasic knowledge of Swagger / API documentation toolsExperience with monitoring systems (Grafana, Zabbix)Higher or secondary technical educationAt least 1 year of experience in technical support or application supportWillingness to learn and develop in the IT fieldAnalytical mindset and stress resistanceGood verbal and written communication skills


What We Offer

Fully remote work format.Official employment under the Russian Labor Code (for residents of Russia); contractor collaboration available for candidates from other countries.Opportunity to work in an international team on a new digital product for the Mexican market.A data-driven environment where your contributions have a real impact.",keep,IT Support / Admin,title matched IT Support / Admin,4
linkedin,aggregator,https://am.linkedin.com/jobs/view/net-developer-at-buymie-4351929995?refId=h8quPSNzhXAxNc%2FPn%2BtrPQ%3D%3D&trackingId=zwxm7sjTv8KeVuhcKmrzxw%3D%3D&position=25&pageNum=0,.Net Developer,buymie,"Yerevan, Yerevan, Armenia",Full-time,Mid-Senior level,Software Development,2026-01-08,,,"At buymie we believe it’s all about being personal and attentive. Our mission is to help and improve our customers life by offering convenience and freedom.

Buymie is an Armenian/Irish co-founded tech company that provides grocery delivery services across Ireland.

Your profile

We are looking for a talented .NET Developer to join our team.

Job Responsibilities

 Provide .NET design and C# development of projects involving application development, migrations, and additions to existing applications, Apply advanced knowledge of technology principles, best practices and procedures to the completion of complex software development assignments, Advanced understanding of SQL database design and development, Develop technical specifications and architecture, Work in a team or individually in all phases of the software development life cycle, Stay informed about the latest advancements in technology and suggest improvements to current processes and technologies.

Requirements

 BS in Computer Science, Engineering, or a related field, or equivalent experience, More than 5 years of work experience in software development with a focus on C# and principles of .NET technologies, Professional skills in OOP and knowledge of design patterns, Working experience in .NET Core, Work experience with SQL database design and programming, Knowledge of Typescript and Angular is an advantage, Ability to problem solve and think critically to develop creative solutions, Analytical skills to efficiently comprehend requirements and make recommendations for process improvements.

About Us

Buymie is an online marketplace that connects Customers with personal shoppers in their area, who shop for and deliver items from local stores.

We are a technology company that prides itself on using data-driven knowledge to perfect the online shopping experience for Customers, as well as adapt our Operations and technology to the ever-changing world.",keep,General IT,text had 6 technical signals,6
linkedin,aggregator,https://am.linkedin.com/jobs/view/813-senior-javascript-developer-short-term-at-intetics-4317076561?refId=h8quPSNzhXAxNc%2FPn%2BtrPQ%3D%3D&trackingId=5klyrmnOFEIvmHayO%2FHW1A%3D%3D&position=21&pageNum=0,813 | Senior JavaScript Developer (Short term),Intetics,Armenia,Full-time,Mid-Senior level,IT Services and IT Consulting,2025-10-20,,,"Intetics, a leading global technology company providing custom software application development, distributed professional teams, software product quality assessment, and ""all-things-digital"" solutions, is looking for JavaScript Developer to enrich its team with a skilled professional to spread the company's ideas, vision, content and messages.

About the Project:

The product is a web-based, artificially intelligent assessment and learning system. It uses adaptive questioning to quickly and accurately determine what a student knows or doesn't know in a course.

Ground-breaking technology was developed by a team of software engineers, mathematicians, and cognitive scientists with the support of a multi-million-dollar grant from the National Science Foundation.

The system instructs the student on the topics he/she is most ready to learn. As a student works through a course, the system periodically reassesses the student to ensure that the issues learned are also retained. The learning courses are very complete in their topic coverage and avoid multiple-choice questions. A student who shows a high level of mastery of a system will be successful in the actual course he/she is taking.

The process is predictable and well-planned. SCRUM is used as a methodology.

Responsibilities:

Design, develop, debug, maintain, and testing of software applications;

Integrate new features and tools into the product, including features and tools developed by others, using such computer languages as JavaScript, HTML5, CSS, SVG, SQL, XML, JSON, and other general-purpose computer languages;

Review and accurate development against business requirements;

Follow established processes including SDLC, QA, performance optimization, and others

Defend code and applied patterns in code reviews;

Document technical changes and additions.

Requirements

3-5+ years of experience in commercial development Strong background in pure JavaScript. Experience developing dynamic web applications utilizing JavaScript, HTML 5, CSS, SQL, and AjaxStrong problem-solving and communication skills Experience working on cross-browser platforms. Self-motivated, self-critical, very attentive to detail, self-learnerUpper-intermediate English level. 

Benefits

Work in the exciting domain: e-LearningBusiness trips to Los Angeles (optionally)Work directly with the core development teamEveryday English practice",keep,Frontend / JS,title matched Frontend / JS,4
linkedin,aggregator,https://am.linkedin.com/jobs/view/fullstack-developer-at-fundraise-up-4285204233?refId=h8quPSNzhXAxNc%2FPn%2BtrPQ%3D%3D&trackingId=mbqv%2F4zIHGH7OUeW7jfmwQ%3D%3D&position=18&pageNum=0,Fullstack Developer,Fundraise Up,"Yerevan, Armenia",Full-time,Mid-Senior level,Software Development,2026-03-17,,,"Highlights

Location: Remote (CET hours preferred)

Compensation: $3,800 - $5,100 + stock options

Language: Russian-speaking team

About Fundraise Up

We’re Fundraise Up - a global fundraising platform built to make donating to nonprofits fast, seamless, and accessible to all. Every month, our technology powers tens of millions of dollars in donations across the globe. We focus on innovation that directly impacts results: faster load times, higher conversion rates, global payment support, and accessibility-first design.

Our platform is trusted by many of the world’s leading nonprofits, including UNICEF, the Alzheimer’s Association, and a wide range of global NGOs. With a 4.9/5 rating across top software review platforms, we’re recognized not just for our impact - but for the quality of the product we deliver.

A Truly Global Product

We operate in the enterprise segment, serving nonprofit organizations across North America, the United Kingdom, Australia, and Europe.

We’re building a large and complex product ecosystem that serves nonprofits, donors, and partners around the world. The platform includes a modern checkout experience and customizable widgets (each a standalone SPA), donor, organization, and partner portals, admin tools, and several internal apps.

Our backend is powered by Node.js (Koa, NestJS) and MongoDB. The frontend stack includes Webpack, Vue.js, and React, with nearly all code written in TypeScript. For high-throughput messaging and background processing, we use Kafka (for millions of events) and Bull (Redis). Analytics data is stored in ClickHouse, and we use Elasticsearch for search.

The Team

We are a distributed team of 160+ product professionals, including 80+ engineers. Our team members are mainly based across Spain, Poland, Portugal, Georgia, Armenia, Serbia, Turkey, and Cyprus. Many of our developers bring 5 - 10+ years of experience, and we foster a culture of deep technical curiosity and knowledge sharing.

Despite our scale, we operate like a focused team - where every task matters and every voice is heard. We value thoughtful collaboration, strong engineering practices, and a product mindset. Biweekly engineering forums give space to share learnings and celebrate technical achievements. You’ll be joining a team where quality, mentorship, and mutual respect come first.

About The Role

As a Senior Fullstack Developer, you will be a key contributor to our core product, building and scaling features that are central to the donation experience for millions of users. You'll leverage your expertise in Node.js, React, and TypeScript to develop complex components—from dynamic donation widgets to data-driven admin dashboards—with a relentless focus on code quality, scalability, and user experience.

This is an ideal opportunity if you love solving real-world problems at scale and want to grow within a mission-driven, high-impact engineering culture.

What You’ll Do

Design, build, and maintain resilient frontend and backend features using React and Node.js. Develop our core products, including donation checkouts, embeddable widgets, and donor/partner portals. Architect and develop system components that scale across millions of monthly transactions. Write clean, well-documented, and thoroughly testable code. Drive architecture and technical design discussions to find elegant solutions to complex problems. Mentor peers by conducting thoughtful code reviews and providing constructive feedback. Partner with product managers and designers to clarify requirements and shape the roadmap. Proactively identify and resolve bugs, performance bottlenecks, and optimization opportunities. 

Requirements

7+ years of professional fullstack development experience. Deep understanding of modern JavaScript (event loop, closures, promises, prototypes). Expert-level proficiency with React and its ecosystem (familiarity with Vue is a plus). Strong backend expertise with Node.js (experience with Koa or NestJS is highly preferred). Experience with Webpack configuration, performance optimization, and profiling. A keen eye for detail and a high sense of ownership and accountability for your work. 

Nice to Have

Experience with MongoDB, ClickHouse, or ElasticsearchFamiliarity with Docker, CI/CD pipelines, or cloud infrastructureContributions to open-source projects or a strong personal portfolio

Bonus points

Curiosity and a hypothesis-driven mindsetAbility to communicate complex analytical concepts to non-technical audiencesDetail-oriented with a strong sense of ownershipComfort working in fast-paced, data-rich environments

Why work with us

A strong, collaborative product team that owns what it buildsClear product vision and access to real customer feedback from global nonprofit leadersFlat structure: no politics, just great work with great peopleTransparent company culture-we share how we’re growing, where revenue comes from, and what’s nextLong-term focus: we offer equity options and value sustained, meaningful contribution

Benefits

31 days off100% paid telemedicine planHome Office Setup Assistance: the company offers assistance with purchasing furniture (office chair, office desk, monitor) and other items to create a comfortable workspace. English learning coursesRelevant professional educationGym or swimming poolCo-workingRemote working. Please note: All official correspondence from Fundraise Up will exclusively originate from the @fundraiseup.com domain. Exercise caution and ensure the authenticity of emails claiming to be from our company. 

We are an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees. We do not discriminate on the basis of race, color, religion, gender, sexual orientation, gender identity or expression, age, national origin, disability, or any other characteristic protected by applicable law in the countries where we operate.",keep,Full Stack,title matched Full Stack,10
linkedin,aggregator,https://am.linkedin.com/jobs/view/backend-c%23-developer-2500-to-3500-usd-monthly-at-smart-apartment-data-4371212011?refId=h8quPSNzhXAxNc%2FPn%2BtrPQ%3D%3D&trackingId=WBf8fDTmWrb0KwWD8CT41A%3D%3D&position=17&pageNum=0,Backend C# Developer (2500 to 3500 USD monthly),Smart Apartment Data,Armenia,Full-time,Mid-Senior level,IT Services and IT Consulting,2026-01-16,,,"Join a Top-Rated US Tech Company in Big Data Analytics.

Smart Apartment Data, a five-star employee-rated company and Best & Brightest Companies to Work For winner, is on the cutting edge of Big Data in real estate. We offer a fun, collaborative environment, generous pay with bonuses, and a strong work-life balance.

About Us: For 19 years, we've been the market leading in big data analytics for U.S. —empowering brokers, investors, and analysts with real-time market intelligence.

Watch this short video to meet our hiring team: https://vimeo.com/1057933773/3260b5ba8b

About You: We are looking for someone fluent in English with the ability to express their creativity and talents. You will work on interesting projects with experienced developers using the AWS cloud.

Sneak peek of projects:

Big Data OrchestrationData Warehousing in SQL Server & NoSQLAPI Design with C# 13 / .NET 9 

Requirements

We are looking for someone who:

Fluent in English Ability to work flexible hours3+ years of experience as a C# developerGood understanding of REST API design methodologies using C#

Benefits

We offer:

Location Independent / 100% RemoteCompetitive salaryWork with latest and cutting-edge technologiesTraining and mentoring by senior developers",keep,Backend,title matched Backend,5
linkedin,aggregator,https://am.linkedin.com/jobs/view/net-backend-developer-at-frontline-data-solutions-4378970798?refId=h8quPSNzhXAxNc%2FPn%2BtrPQ%3D%3D&trackingId=JiiL2dbl37MXEiCjpHmf9Q%3D%3D&position=10&pageNum=0,.NET Backend Developer,Frontline Data Solutions,Armenia,Full-time,Not Applicable,Software Development,2026-03-04,,,"We’re looking for a reliable Back-end Developer to build and enhance modern, high‑quality backend services using C#, ASP.NET Core with solid experience in ORMs such as Entity Framework Core or Dapper. In this role, you’ll design and implement RESTful APIs, improve data workflows, and ensure strong system performance across our platform. You’ll work closely with cross‑functional partners to deliver clean, maintainable backend logic powered by efficient SQL and robust data access patterns. Experience with search technologies like Elasticsearch is a plus but not required. If you enjoy building clear, scalable backend systems and contributing to steady, high‑quality technical improvement, we’d love to meet you.

What You’ll Do

Build New Features: Collaborate with Product Managers, Frontend Developers, and fellow Backend Engineers to design and implement new features that enhance functionality, performance, and user experience across our core applications. Modernize Our Architecture: Help lead the transformation of our existing monolithic application into a modern, scalable, service-oriented architecture. You’ll have the opportunity to influence key architectural decisions and implement services that are robust, secure, and maintainable. Embrace Quality & Scale: Contribute to a codebase that’s clean, well-documented, and covered by tests. You’ll write scalable code with a focus on performance, fault-tolerance, and long-term maintainability. Solve Meaningful Problems: Work on real-world challenges in safety, compliance, and operations that have a measurable impact on our customers’ businesses and the well-being of their employees. Thrive in a Supportive Culture: Be part of a small, collaborative engineering team where your ideas are heard, your contributions matter, and your growth is supported. 

Skills You’ll Need

C# & ASP.NET Core Expertise: Strong experience building and maintaining backend services and web APIs using C# and ASP.NET Core. API Design & Integration: Solid understanding of REST principles with hands‑on experience designing, integrating, and consuming APIs in production environments. SQL & Database Skills: Ability to write efficient, optimized SQL queries and work confidently with relational databases to ensure performance and data integrity. ORM & Data Access: Good experience with Entity Framework Core or Dapper for data access patterns. Testing: Strong experience in writing unit tests using any of the standard testing frameworks (e.g., MSTest, NUnit, or xUnit). Search Technologies (Nice to Have): Exposure to Elasticsearch or similar search technologies is beneficial but not required. Communication & Collaboration: Strong ability to explain technical decisions, discuss trade‑offs, and work cross‑functionally to deliver reliable backend solutions. 

What You’ll Get

Leadership & Growth: Work directly with senior leadership, reporting to the CTO, in an autonomous and entrepreneurial culture with zero bureaucracy. Remote Work & Flexibility: Frontline is a fully distributed organization. Competitive Compensation",keep,Backend,title matched Backend,5
linkedin,aggregator,https://am.linkedin.com/jobs/view/senior-react-js-developer-at-commit-4386862624?refId=h8quPSNzhXAxNc%2FPn%2BtrPQ%3D%3D&trackingId=PKpTVUEXMBkeGs6canj9Nw%3D%3D&position=12&pageNum=0,Senior React.js Developer,Commit,"Yerevan, Yerevan, Armenia",Full-time,Mid-Senior level,Software Development,2026-03-18,,,"We’re looking for a Senior React Engineer to own critical frontend experiences, collaborate closely with product/design, and help us scale company to millions of users.

What You’ll Do:

Design, build, and ship high-performance, responsive web UIsPartner with product managers, designers, and analysts to translate user needs into elegant product experiencesPlan and execute short- and long-term roadmaps balancing user impact, technical quality, and delivery speedRaise the bar through code reviews, mentoring, and improvements to our tooling and processes

Requirements:

Must-have expertise:

Next.js (our web app is built with Next.js)Monorepos using Yarn Workspaces or NxTailwind CSS (our primary design system)

Technical requirements:

5+ years of professional software development experience5+ years with React and its ecosystem (e.g., Redux, React Router)Strong proficiency in JavaScript (ES6/ES7) and TypeScriptDeep knowledge of HTML/CSS, responsive design, and accessibility (a11y) best practicesHands-on with modern build tooling and package managers (Vite, esbuild, Yarn)Experience with server-side rendering and Next.js, plus working knowledge of Node.jsComfortable with Git workflows and agile methodologies3+ years working with major cloud providers (AWS/GCP/Azure)Storybook

Nice to have:

Experience with monorepo release management and internal package versioningFamiliarity with performance profiling, Web Vitals, and SEO in Next.jsE2E testing (Playwright/Cypress) and CI/CD pipelinesExperience in fintech or data-heavy, real-time UIs",keep,Frontend / JS,title matched Frontend / JS,11
linkedin,aggregator,https://am.linkedin.com/jobs/view/game-developer-javascript-at-softconstruct-4378193148?refId=h8quPSNzhXAxNc%2FPn%2BtrPQ%3D%3D&trackingId=abCPBDDhGlHzGdEhRVYHLA%3D%3D&position=11&pageNum=0,Game Developer (JavaScript),SoftConstruct,"Yerevan, Armenia",Full-time,Mid-Senior level,IT Services and IT Consulting,2026-03-03,,,"PopOK is on a search for a new Game Developer to join our team.
ResponsibilitiesDevelop and maintain high-quality JavaScript (ES6+) applicationsImplement interactive features and animations for web-based projectsWrite clean, efficient, and maintainable codeOptimize applications for performance across desktop and mobile devices Collaborate closely with designers to accurately implement UI and interactive behaviorDevelop interactive graphics and animations using the HTML5 Canvas API
Requirements3+ years of experience in game developmentStrong knowledge of JavaScript (ES6+)Mandatory knowledge of HTML and CSSExperience with modern frontend development conceptsStrong problem-solving skills and attention to detailKnowledge or hands-on experience with PixiJS is a plus",keep,Frontend / JS,title matched Frontend / JS,3
linkedin,aggregator,https://am.linkedin.com/jobs/view/webflow-developer-at-commit-4317348359?refId=h8quPSNzhXAxNc%2FPn%2BtrPQ%3D%3D&trackingId=Q2nSToh8HNJlZvrGmqLDxQ%3D%3D&position=8&pageNum=0,Webflow developer,Commit,"Yerevan, Yerevan, Armenia",Full-time,Mid-Senior level,Software Development,2025-10-20,,,"We're revolutionizing how industries leverage data-driven insights through cutting-edge AI and machine learning solutions. Our platform empowers businesses to make intelligent decisions by transforming raw data into actionable insights. As a rapidly growing technology company, we are seeking passionate and talented engineers to join our dynamic team.

Role Overview

We’re looking for a creative, detail-obsessed GTM Engineer with rock-solid front-end fundamentals, a growth-testing mindset, and the ability to translate Figma designs into polished, high-performing pages. You’ll shape our online presence and growth experiments—from concept to execution—building landing pages, marketing experiences, and product-led growth flows. This is a high-impact, cross-functional role at the intersection of growth, product, and design—perfect for someone who thrives on autonomy, speed, and tangible results.

Who We Are

We’re first and foremost a relationship company, which means we care about our own relationships as much as our members'.We believe alignment is fundamental to success when running fast as a group.We build thoughtfully and measure everything—data is a core pillar of our product and our AI evolution.We set a high professional bar and support each other through the journey.

About You

You have expert-level HTML, CSS, and modern JavaScript skills and can architect responsive, accessible UIs without heavy frameworks.You are comfortable working in Figma and can make quick design tweaks and adjustments as needed (basic-plus proficiency).You think in user journeys and growth funnels—comfortable setting up A/B tests and interpreting the data.You collaborate seamlessly with designers and marketers but know how to run solo when needed.You have basic familiarity with Webflow (or another visual site-builder) and are confident you can reach production proficiency within a few weeks.You’re proactive, resourceful, and outcome-oriented—comfortable working in a fast-moving startup with changing priorities.

Key Responsibilities

Own development of marketing pages, landing pages, and growth experiments—whether in Webflow or hand-coded when required.Translate Figma designs into pixel-perfect, responsive builds.Implement smooth UX and interactions using custom code, Webflow’s native capabilities, or lightweight animation libraries.Collaborate with marketing and design teams to execute fast-paced go-to-market campaigns.Plan, implement, and analyze A/B tests using VWO (Visual Website Optimizer) and other experimentation tools.Guard performance and accessibility, hitting Core Web Vitals targets across devices.Maintain and evolve component/class naming systems (e.g., Client-First) for scalability.Monitor performance and user behavior using GA4, VWO, and other analytics tools.Continuously improve conversion flow and UX through data-backed testing and iteration.

Requirements:

3+ years of professional front-end engineering experience with proven mastery of semantic HTML, modern CSS, and JavaScript.Proficiency in Figma with the ability to perform design tweaks and adjustments efficiently.Hands-on experience with A/B testing platforms such as VWO, Google Optimize, or similar.Comfort ramping up quickly on Webflow (prior projects a plus, not mandatory).Solid understanding of responsive design, web performance, and UX best practices.Experience working in fast-paced, cross-functional teams.Bonus: knowledge of SEO, analytics tagging plans, and CRO methodologies.

Nice-to-Have / Fast-Learn Skills

Deep Webflow CMS modelling and multi-site managementAdvanced animation (GSAP, Three.js)

Structured data implementation & technical SEO wizardry",keep,Backend,title matched Backend,5
linkedin,aggregator,https://am.linkedin.com/jobs/view/laravel-%2B-vue-js-developer-at-fidem-llc-4273947690?refId=h8quPSNzhXAxNc%2FPn%2BtrPQ%3D%3D&trackingId=e3L1P2rOZKAqGYEXMQAVBQ%3D%3D&position=7&pageNum=0,LARAVEL + VUE JS DEVELOPER,Fidem LLC,"Yerevan, Armenia",Full-time,Entry level,IT Services and IT Consulting,2025-07-23,,,"Laravel + Vue JS Developer

April 4, 2024/by mnatsakanyan

Fidem is a web design and development company, where we love to solve problems. Development and realization of your mind is our favorite task. The combination of quality and speed are our characteristics. We believe that there is nothing impossible.

We are looking for an open-minded and positive team player, who’s passion is communication and software development to join our proactive and growing team. You can participate in software design, development, and all technical aspects of a project’s life-cycle.

If You want to grap the world

and think that You can do it, join our team.

Job responsibilities

You must love what you do.Work according to a task schedule set by the project manager, based on prioritized tasks in our issue management system.Developing cross-browser, cross-platform, and mobile compatible solutions with a commitment to excellence in user experience and responsive design.Developing responsive web applications using JavaScript, AJAX, CSS, Bootstrap.Developing in a strong test driven development approach with a passion for perfection.Participate in design and development of enterprise applications using various technologies such as PHP, Javascript․Use and improve established software development frameworks, standards and processes․bug fixing, and maintenance of created software.Communication and cooperation with users and other team members.Learn, grow and help your peers grow.

Required Qualifications

 up to 2 years of experience desired Excellent working skills in PHP, Javascript, MySQL, HTML, CSS, Git PHP Framework – Laravel. JS Framework – Vue JS Knowledge of React is a plus Good written and verbal skills in English Independent logical and analytical thinking. Ability to work in a team.

Apply for the job

Attach Your CV

Choose File

File name",keep,Backend,title matched Backend,7
