source,source_type,source_url,job_title,company_name,location,employment_type,seniority_level,industries,posting_date,deadline,skills_tags,full_text,it_filter_decision,it_role_group,it_filter_reason,it_tech_text_score
job.am,aggregator,https://job.am/en/job/front-end-sksnak-cragravorogh-heravar-49062,Front-end սկսնակ ծրագրավորող (հեռավար),Berdl,Remote,Flexible,"Not required, Junior",,,2026-04-17,,"Կազմակերպությունը աշխատանքի է հրավիրում աղջիկ HTML, CSS, JS սկսնակ ծրագրավորող (հեռավար)։

Կայքերի վերականգնում WebArchive-ից Կայքում առաջացած խնդիրների հայտնաբերում և ուղղում Կայքի համար համապատասխան պրոդուկտի ձևանմուշների (template) մշակում Պրոդուկտների գեներացում և կայքում տեղադրում

Ինտերնետի և համակարգչի ԼԱՎ տիրապետում, Անգլերենի և ռուսերենի ԼԱՎ իմացություն, Աշխատասիրություն, HTML, CSS, JavaScript ԼԱՎ իմացություն։

Աշխատավայրը ՝ Կենտրոն համայնք, Դիմելու համար խնդրում ենք ուղարկել լուսանկարով CV։ Company օverview Number of employees 1-15 Website https://berdl.com/",keep,Frontend / JS,title matched Frontend / JS,2
job.am,aggregator,https://job.am/en/job/1c-operator-71639,1C օպերատոր,Carat Trade,Yerevan,Full Time,Mid level,,,2026-03-26,,"Սեռը ցանկալի է արական սեռի, Կրթությունը՝ բարձրագույն, կամ վերջին կուրսում հեռակա սովորող, Փորձը՝ ցանկալի է, բայց պարտադիր չէ, Ունակություններ՝ որոշակի տեղեկություններ Excel, Word, 1C, լավ տիրապետելը կդիտվի որպես առավելություն, Կարևոր հատկանիշներ՝ սթրեսակայունություն, պաևտաճանաչություն։ Company օverview Address Աշոտ Հովհաննիսյան 24/4, Yerevan, Armenia Number of employees 151-500 Phone 060434343 Ծխախոտի իրացում See more",drop,Non-IT,no strong IT title pattern and only 0 technical text signals,0
job.am,aggregator,https://job.am/en/job/av-engineer-72195,AV Engineer,CreedRoomz,Yerevan,Full Time,Mid level,,,2026-04-10,,"Description Creedroomz is looking for an AV Engineer to join our team. Requirements Advanced knowledge of photography concepts (aperture, shutter speed, ISO, exposure, lenses). Experience in electronic engineering and broadcast/communication equipment. Advanced knowledge of video camera operation and production video switchers. Experience with live chroma keying. Strong understanding of SDI, HDMI, network systems, and AV infrastructure. Excellent color vision and hearing. Strong IT and production management skills. Strong fault-detection and creative problem-solving abilities. Excellent attention to detail, time management, flexibility, and teamwork skills. Responsibilities Participate in studio build processes by installing, configuring, and testing dedicated audio-visual equipment. Maintain equipment used for audio-video production, broadcasting, signage, and media display. Set up and monitor audio-visual transmission links between studio units. Identify and repair technical faults promptly, implementing alternative solutions where possible to minimize interruptions. Set up and operate equipment and transmission links during live broadcasts. Install custom low-power audio-visual circuits, including data, video, and audio cabling. Assemble and configure hardware systems and related AV infrastructure. Adhere strictly to health and safety regulations in the workplace. Interpret and implement technical instructions and requests from various departments. Communicate effectively with team members and cross-functional colleagues. Stay updated with industry trends and technological advancements, researching new systems and techniques. Education: Bachelor’s degree in Information Technology, Computer Science, or a related technical field. Work Experience: Minimum 2 years of experience in audio-visual engineering, broadcast production, or studio technical operations. Professional Skills: Installation and configuration of AV systems Live broadcast technical support Troubleshooting AV and transmission systems Technical documentation Personal Skills: Strong analytical thinking Responsibility and reliability Ability to work under pressure during live operations Team-oriented mindset Location: 20 Garegin Hovsepyan St, Norq-Marash, Yerevan, Armenia 122/1 Gevorg Chaushi Highway, Proshyan Village, Nairi Community, Kotayk Province, Armenia Company օverview Address Երևան, Գ․ Հովսեփյան 20 Number of employees 501-1000 Website https://www.creedroomz.com/ Phone 37444444453 Experience the thrill of real-time action and unmatched excitement with Creedroomz Live Casino. Immerse yourself in a world of high-stakes gaming, where the finest live dealers bring your favorite casino games to life. From classic table games like Blackjack, Roulette, and Baccarat to innovative live game shows, Creedroomz delivers an authentic and immersive casino experience from the comfort of your home. With cutting-edge technology, seamless streaming, and a sleek, user-friendly interface, Creedroomz ensures you enjoy every moment as if you were in a luxurious casino, no matter where you are. Join us today and take your gaming experience to the next level. Welcome to Creedroomz Live Casino – your ultimate destination for real-time casino excitement. See more Benefits Annual salary review Free foreign language courses Corporate events Flexible working schedule Medical insurance Family medical insurance Free tea, coffee and refreshments Reward system Business trips Trainings Free parking Sports Package Sports and yoga zone Parental leave",drop,Non-IT,no strong IT title pattern and only 1 technical text signals,1
job.am,aggregator,https://job.am/en/job/it-support-specialist-69311,IT Support Specialist,CreedRoomz,"Nork-Marash, Yerevan",Full Time,Mid level,,,2026-04-09,,"CreedRoomz is looking for IT Support Specialist to join our team.

Identify hardware and software solutions, troubleshoot technical issues, diagnose and repair faults. Resolve network issues, Install and configure hardware and software. Provide timely and accurate customer feedback, follow up with clients to ensure the problem is resolved. Replace or repair the necessary parts. Support the roll-out of new applications and manage multiple cases at one time. Test and evaluate new technologies, conduct electrical safety checks on equipment. Provides technical support for internal end users on routine hardware and software problems including operating system support, application support, system access problems and database support. Inputs data in Help Desk tracking system and assists with maintenance. Provide daily support to users of various computer systems including answering questions, analyzing problems, and quickly forming solutions to return systems to proper operation. Communicate clearly and effectively with end users, colleagues, and management to quickly resolve issues and ensure customer satisfaction. Create and implement new processes to improve efficiency and customer satisfaction while reducing costs.

Bachelor's degree (basic technical skills are preferable) in IT. Strong communication skills and ability to remain calm and professional in all circumstances. Quickly identify problems, form solutions, and execute step-by-step troubleshooting procedures. Working knowledge of PC operating systems and Microsoft Office Applications. Good communication skills is a must, good team member Proficiency in Windows OS. Experience with remote desktop applications and help desk software. Attention to detail and good problem-solving skills. Excellent interpersonal skills. Good written and verbal communication.",keep,IT Support / Admin,title matched IT Support / Admin,3
job.am,aggregator,https://job.am/en/job/studiayi-ajakcman-masov-texnik-71986,Ստուդիայի Աջակցման Մասով Տեխնիկ,Evolution Studio AM,Yerevan,Full Time,Mid level,,,2026-04-04,,"Աշխատանքի նկարագրություն և պարտականություններ՝ Ստուդիաների, պանելների, մոնիտորների, դեկորատիվ վահանակների, մալուխների և ստուդիայի սարքավորումների տեղադրում և սպասարկում։ Շերտավոր գորգեր, աշխատանք փայտի և մետաղի հետ, ներկերի և պարզ առաջադրանքների արհեստանոցում պարզ սարքավորումների և ագրեգատների վրա: Ստուդիաներում վիզուալ միջավայրի պատրաստում, դեկորատիվ պանելների տեղադրում Ցածր լարման տվյալների մալուխների տեղադրում Ստուդիայի կահույքի տեղադրում Համալիր սարքավորումների, ներառյալ տեսախցիկների, սկաներների, ԱՀ-ների, լույսերի տեղադրում` համաձայն տրված սխեմաների և ուղեցույցների Ձայնամեկուսիչ միջավայրերի պատրաստում, կլանիչների տեղադրում Փայտի, կտորի և մետաղի  աշխատանքների կատարում Որակավորումներ՝ Միջնակարգ կրթություն Հայերենի մասնագիտական ​​աշխատանքային իմացություն և անգլերենի բավարար աշխատանքային իմացություն Ստանդարտ գործիքների (էլեկտրական գայլիկոն, սղոց, մուրճ, էլեկտրական սղոց, էլեկտրական պտուտակահան, կարիչ և այլն) աշխատելու սկսնակ/միջանկյալ հմտություններ: Պատասխանատվության բարձր զգացում Ուղղակի կառավարման պատվերները և աշխատանքային առաջադրանքները ճշգրիտ կատարելու ունակություն Թիմում աշխատելու ունակություն Առնվազն 1 տարվա աշխատանքային փորձ որպես ատաղձագործ, շինարարություն կամ հարակից այլ ոլորտ Արտոնություններ` հանգստի և խաղային գոտիներ առողջության ապահովագրության փաթեթ, արտոնության քարտ. Company օverview Address Isakov 24/7, Yerevan, Armenia Number of employees 1001+ Website https://www.evolution.com/ Evolution is a market-leading Swedish company, developer and provider of products and services for online casino entertainment founded in 2006 and listed on Nasdaq Nordic (EVO).Across our 40+ sites, we have 20 000+ people working in the fields of Product Innovation, Software Development, Game Presenters & Hosts, IT support, Facility & Studio build as well as support services. Evolution's dynamic and creative environment creates a unique opportunity for personal and professional growth. Since entering the Armenian market in 2020, Evolution Armenia has rapidly established itself as a major employer with a reputation for excellence. We are committed to becoming one of the premier employers in the region, offering exciting career opportunities and challenging experiences. Are you ready for new opportunities and eager to gain valuable experience? If you’re prepared for challenges and growth, we want to hear from you. See more Benefits Free foreign language courses Corporate events Flexible working schedule Medical insurance Family medical insurance Free tea, coffee and refreshments Reward system Personal accident, death, illness insurance Trainings Sports Package No dress code Sports and yoga zone Parental leave",drop,Non-IT,no strong IT title pattern and only 1 technical text signals,1
job.am,aggregator,https://job.am/en/job/studiayi-sarqavorumneri-ajakcman-masnaget-71985,Ստուդիայի Սարքավորումների Աջակցման Մասնագետ,Evolution Studio AM,Yerevan,Full Time,Mid level,,,2026-04-04,,"Էվոլյուշնը փնտրում է Ստուդիայի Սարքավորումների Աջակցման Մասնագետ Job Description Տեղադրել, մաքրել, փոխել և կարգավորել հիմնական սարքավորումները, Կատարել սարքավորումների փորձարկումներ, Ապահովել սարքավորումների կանխարգելիչ սպասարկում, Վերահսկել սարքավորումների աշխատանքը, կատարել գնահատումներ և որոշումներ կայացնել անհրաժեշտ գործողությունների վերաբերյալ, Ապահովել սարքավորումների առկայությունը 24/7, Զեկուցել սարքավորումների հետ կապված խնդիրների մասին, Ռուլետկա անիվների մաքրում/սպասարկում, Խաղային մեքենաների մաքրում/սպասարկում/փոխանակում, Տախտակամածի ստուգիչի մաքրում/սպասարկում, Սեղանների ստուգում, Կատարել քարտեր/սարքավորումների տեղափոխում հաստատության ներսում, Կազմակերպել սարքավորումների օգտագործումը, Մշտադիտարկել ջերմաստիճանը խաղային հարկերի և պահեստների վրա, Պահեստում գտնվող սարքավորումների մոնիտորինգ և հետևում, Համագործակցել այլ ստորաբաժանումների հետ: Qualifications Միջնակարգ կրթություն՝ (բարձրագույն, մասնագիտական և այլն), Աշխատանքային փորձը նախընտրելի է մինչև 6 ամիս, Անգլերենի գրավոր և բանավոր մասնագիտական աշխատանքային իմացություն, Ստանդարտ ծրագրային հավելվածների հետ աշխատելու փորձ, ներառյալ MS Office, Windows և այլն Պատասխանատվության բարձր զգացում, Հանձնարարված առաջադրանքները պահպանելու և վերջնաժամկետները պահպանելու ունակություն, Թիմում, ինչպես նաև ինքնուրույն աշխատելու կարողություն, Արագ արձագանք և ուշադրություն մանրուքների նկատմամբ, ճնշմանը դիմակայելու կարողություն, Գաղտնի տեղեկատվության հետ աշխատելու ունակություն, Ընկերության նպատակներին հասնելու մոտիվացիա, Տարբեր հերթափոխով աշխատելու ունակություն։ Additional information մարզադահլիճով և ճաշարանով համալրված աշխատավայր, գերժամանակակից հեռարձակման ստուդիայում աշխատանքային փորձ ձեռք բերելու հնարավորություն, մասնագիտական ​​և անհատական ​​զարգացման հնարավորություններ` կարիերայի աճի հնարավորություն, առողջության ապահովագրության փաթեթ, արտոնության քարտ Company օverview Address Isakov 24/7, Yerevan, Armenia Number of employees 1001+ Website https://www.evolution.com/ Evolution is a market-leading Swedish company, developer and provider of products and services for online casino entertainment founded in 2006 and listed on Nasdaq Nordic (EVO).Across our 40+ sites, we have 20 000+ people working in the fields of Product Innovation, Software Development, Game Presenters & Hosts, IT support, Facility & Studio build as well as support services. Evolution's dynamic and creative environment creates a unique opportunity for personal and professional growth. Since entering the Armenian market in 2020, Evolution Armenia has rapidly established itself as a major employer with a reputation for excellence. We are committed to becoming one of the premier employers in the region, offering exciting career opportunities and challenging experiences. Are you ready for new opportunities and eager to gain valuable experience? If you’re prepared for challenges and growth, we want to hear from you. See more Benefits Free foreign language courses Corporate events Flexible working schedule Medical insurance Family medical insurance Free tea, coffee and refreshments Reward system Personal accident, death, illness insurance Trainings Sports Package No dress code Sports and yoga zone Parental leave",drop,Non-IT,no strong IT title pattern and only 1 technical text signals,1
job.am,aggregator,https://job.am/en/job/system-administrator-71040,System Administrator,Gulf Armenia,Yerevan,Full Time,Senior,,,2026-03-22,,"Gulf Armenia is looking for an experienced System Administrator to join our team.

Oversee the installation, configuration, and maintenance of all hardware and software systems, including servers, networks, workstations, and security systems. Manage IT support for employees — troubleshoot hardware, software, and network connectivity issues, ensuring minimal downtime. Administer QNAP NAS systems: user access, backups, snapshots, and remote replication. Configure and maintain Fortigate firewalls, VPNs, and network security policies to safeguard company assets. Implement and monitor network infrastructure (LAN, WAN, VLAN, DHCP, DNS, Wi-Fi). Set up and maintain Moxa devices (switches, serial-to-Ethernet converters, gateways) for communication with industrial equipment. Configure and troubleshoot RS-485 / Modbus communication protocols for integration with controllers and IoT devices. Manage data protection, backups, and disaster recovery plans across systems and storage platforms. Conduct regular security audits, monitor network performance, and proactively identify risks. Collaborate with other departments to understand their technology needs and provide tailored IT solutions. Manage vendor relationships and service provider contracts to ensure reliability and cost-effectiveness. Document IT systems, configurations, and procedures, ensuring accuracy and consistency.

Minimum 4 years of experience as a System Administrator or similar role, ideally in a non-IT-focused or industrial organization. Bachelor’s degree in Information Technology, Computer Science, or a related field (Master’s preferred). Strong English and Russian communication skills. Solid knowledge of network infrastructure, server management, and systems integration. Proven experience with QNAP NAS management and data backup strategies. Fortigate firewall configuration and VPN management. Moxa industrial devices (switches, serial converters, remote I/O). RS-485/Modbus serial communication setup and diagnostics. Experience with Windows Server, Active Directory, and Linux environments. Understanding of network security, firewall rules, and data protection practices. Excellent analytical, problem-solving, and troubleshooting skills. Company օverview Address Տիգրան Մեծ 16 Number of employees 151-500 Phone +374 94 781801 Gulf Armenia is a new gas station brand operating in Armenia, offering a range of fuels and services. Our success is driven by high quality fuel, wide range of convenience store products, quality coffee, attractive fast food offer and exceptional customer service. This international brand has been represented officially in Armenia by ""AMRECO"" LLC, since 2024. We trace the establishment of our world brand to 1901 in the USA. Nowadays Gulf Oil International distributes high quality oil products to more than 100 countries and is one of the major players in the world market. We import fuel from the best oil refineries in Europe whose quality controls comply with world class standards. Gulf refueling stations are distinguished with modern equipment and western state of the art innovative technologies. Gulf is one of the new major employers in Armenia. Continuing to build the strong team is a great challenge for the Company. For these reasons Gulf is always focused on recruiting the brightest and most talented people. Our company is oriented on and always tries to capture opportunities for growth and development. See more Benefits Corporate events Free tea, coffee and refreshments Reward system Trainings Free parking",keep,IT Support / Admin,title matched IT Support / Admin,3
job.am,aggregator,https://job.am/en/job/tesahskman-u-anvtangutyan-hamakargeri-texnik-71036,Տեսահսկման ու անվտանգության համակարգերի տեխնիկ,Homplex Hyper  Mall,"Աշտարակի խճուղի, գ․ Պռոշյան",Full Time,Senior,,,2026-04-09,,"Տեսահսկման, ազդանշանային և անվտանգության այլ համակարգերի տեղադրում, կարգավորում և գործարկում Տեխնիկական սպասարկում և անսարքությունների ախտորոշում ու վերացում Համակարգերի ծրագրային կարգավորումներ (DVR/NVR, IP տեսախցիկներ և այլն) Անվտանգության և աշխատանքային կանոնների պահպանում Մալուխների անցկացում, սարքավորումների միացում և փորձարկում

Անվտանգության համակարգերի վերաբերյալ գիտելիքներ Տեսահսկման համակարգերի վերաբերյալ գիտելիքներ Համակարգչային գիտելիքներ Պատասխանատվության բարձր զգացում և ճշգրտություն Թիմում և ինքնուրույն աշխատելու կարողություն Աշխատանքային փորձ առնվազն 1 տարի

Աշխատանքային օրեր և ժամեր՝ 6-օրյա, հասցե ՝  Աշտարակի խճուղի, գ․ Պռոշյան, Գ․ Չաուշ 1/48 Company օverview Address Աշտարակի խճ․, գյուղ Պռոշյան , Գ․ Չաուշ 1/48 Number of employees 501-1000 Website https://homplex.am/ Phone 37494257567 Homplex Mall-ը Երևանի ամենամեծ առևտրի և ժամանցի կենտրոններից մեկն է։ Մոլը հիմնականում մասնագիտացած է շինարարական, վերանորոգման, տան պարագաների և կենցաղային տեխնիկայի ոլորտում, ինչի շնորհիվ այն առաջնային վայր է նրանց համար, ովքեր ցանկանում են կառուցել կամ վերանարոգել իրենց տունը վերջին նորարարություններով և տեխնոլոգիաներով: See more Benefits Annual salary review Corporate events Trainings Free parking",drop,Non-IT,no strong IT title pattern and only 0 technical text signals,0
job.am,aggregator,https://job.am/en/job/senior-backend-developer-71824,Senior Backend Developer,Nika S.A,Yerevan,"Full Time, Part Time, Contract",Senior,,,2026-04-01,,"As a Backend Software Developer, you will be responsible for designing, developing, and maintaining backend services and APIs. You will collaborate with cross-functional teams to build robust and efficient backend systems that integrate seamlessly with front-end applications and cloud-based services. The ideal candidate will have a minimum of 3+ years of experience in backend development and a strong technical background in .NET Core, API development, and cloud services.

Design, develop, and maintain backend services and APIs. Optimize database performance and design efficient data models. Implement authentication, authorization, and security best practices. Develop and maintain asynchronous processing and messaging systems. Work closely with front-end and DevOps teams to integrate backend functionalities. Debug, troubleshoot, and improve system performance and reliability. Design and implement seamless integration between backend services and cloud-based services (e.g., AWS S3 for storage, AWS Lambda for processing). Establish and maintain robust API contracts with the front-end team to ensure smooth data exchange and feature delivery. Configure and monitor integration points with external third-party APIs and services. Collaborate with DevOps to integrate backend services into CI/CD pipelines for automated deployment and testing. Implement and integrate distributed tracing and logging solutions to monitor cross-service communication in event-driven and distributed architectures.

3+ years of experience in back-end development. Strong expertise in .NET Core / ASP.NET Core for building web APIs and backend services. Proficiency in C# with a focus on clean, efficient, and scalable code. Experience with relational databases such as PostgreSQL or SQL Server (writin complex queries, optimizing performance, designing schemas) Strong understanding of RESTful API design and development. Implementation of authentication and authorization using OAuth2, JWT, and AWS Cognito. Experience with asynchronous processing and messaging systems (e.g., Kafka, RabbitMQ, AWS SNS/SQS). Background in building distributed systems and event-driven architectures.

Preferred Skills Familiarity with NoSQL databases (e.g., DynamoDB, MongoDB). Hands-on experience with AWS services, particularly: AWS Lambda (serverless functions). AWS Cognito (authentication and user management). AWS S3, API Gateway, and DynamoDB. Familiarity with CI/CD pipelines and testing frameworks. Work Style Agile and SCRUM methodologies for collaborative and efficient project delivery. Excellent communication and teamwork skills. Nika S.A. is a forward-thinking tech firm in Armenia, driving digital transformation through high-end software engineering. As a company, we are committed to staying ahead of the curve, specializing in the creation of responsive, user-centric platforms designed for global reach. Our culture is vibrant, energetic, and professional . We believe that the best products are built by teams that are given the tools and the freedom to innovate. At Nika S.A., we leverage the latest in JavaScript technologies and cloud-ready architectures to deliver seamless experiences in a rapidly evolving market. Join a Team That Values: Innovation: We encourage a ""fail fast, learn faster"" mindset within a supportive, professional framework. Collaboration: A young, diverse team where open communication and collective problem-solving are the norms. Impact: The opportunity to work on high-traffic applications where your code directly affects the user experience. If you are a proactive professional seeking a career in a company that balances a dynamic startup energy with corporate stability , Nika S.A. is the place for you. See more",keep,Backend,title matched Backend,11
job.am,aggregator,https://job.am/en/job/senior-front-end-software-developer-71596,Senior Front-end Software Developer,Nika S.A,Yerevan,"Full Time, Contract",Senior,,,2026-03-25,,"Development: Build and scale complex UIs using Next.js and React.js . Architecture: Design and implement System Architecture solutions , leveraging Cloud environments for optimized deployment. PWA: Develop and maintain Progressive Web Applications to enhance mobile user engagement. Engineering: Write clean, efficient TypeScript and integrate with RESTful/GraphQL APIs . Quality & Mentorship: Lead code reviews and mentor team members to maintain rigorous engineering standards. Optimization: Ensure cross-browser compatibility and maximize application speed for high-traffic environments.

iGaming Experience: Proven track record within the iGaming industry. Front-end Expertise: 5+ years of experience with Next.js, React.js, TypeScript , and ES6+ . PWA Mastery: Demonstrated experience building and deploying Progressive Web Apps . Cloud Architecture: Familiarity with System Architecture and deploying front-end solutions in Cloud environments (AWS/GCP/Azure). Version Control: Proficiency in Git and modern CI/CD workflows. Communication: Fluent English and a collaborative, problem-solving mindset.",keep,Backend,title matched Backend,8
