university,program_name,degree_level,role_groups,missing_skill,job_frequency,category
American University of Armenia,Computer Science,Bachelor,ALL,SQL,103,Databases
American University of Armenia,Computer Science,Bachelor,ALL,TypeScript,78,Programming Languages
American University of Armenia,Computer Science,Bachelor,ALL,AWS,72,DevOps & Cloud
American University of Armenia,Computer Science,Bachelor,ALL,React,60,Web & Mobile Frameworks
American University of Armenia,Computer Science,Bachelor,ALL,Git,52,DevOps & Cloud
American University of Armenia,Computer Science,Bachelor,ALL,PostgreSQL,52,Databases
American University of Armenia,Computer Science,Bachelor,ALL,Node.js,52,Web & Mobile Frameworks
American University of Armenia,Computer Science,Bachelor,ALL,Docker,51,DevOps & Cloud
American University of Armenia,Computer Science,Bachelor,ALL,Microservices Architecture,47,Software Engineering
American University of Armenia,Computer Science,Bachelor,ALL,Kubernetes,41,DevOps & Cloud
American University of Armenia,Computer Science,Bachelor,ALL,Linux,37,DevOps & Cloud
American University of Armenia,Computer Science,Bachelor,ALL,Large Language Models,37,Data & ML
American University of Armenia,Computer Science,Bachelor,ALL,Agile,31,Software Engineering
American University of Armenia,Computer Science,Bachelor,ALL,.NET,29,Web & Mobile Frameworks
American University of Armenia,Computer Science,Bachelor,ALL,Go,27,Programming Languages
American University of Armenia,Computer and Information Science,Master,ALL,REST API,120,Web & Mobile Frameworks
American University of Armenia,Computer and Information Science,Master,ALL,TypeScript,78,Programming Languages
American University of Armenia,Computer and Information Science,Master,ALL,AWS,72,DevOps & Cloud
American University of Armenia,Computer and Information Science,Master,ALL,React,60,Web & Mobile Frameworks
American University of Armenia,Computer and Information Science,Master,ALL,CI/CD,59,DevOps & Cloud
American University of Armenia,Computer and Information Science,Master,ALL,Git,52,DevOps & Cloud
American University of Armenia,Computer and Information Science,Master,ALL,PostgreSQL,52,Databases
American University of Armenia,Computer and Information Science,Master,ALL,Node.js,52,Web & Mobile Frameworks
American University of Armenia,Computer and Information Science,Master,ALL,Docker,51,DevOps & Cloud
American University of Armenia,Computer and Information Science,Master,ALL,Microservices Architecture,47,Software Engineering
American University of Armenia,Computer and Information Science,Master,ALL,Kubernetes,41,DevOps & Cloud
American University of Armenia,Computer and Information Science,Master,ALL,C#,38,Programming Languages
American University of Armenia,Computer and Information Science,Master,ALL,Linux,37,DevOps & Cloud
American University of Armenia,Computer and Information Science,Master,ALL,Large Language Models,37,Data & ML
American University of Armenia,Computer and Information Science,Master,ALL,Test Automation,31,Software Engineering
American University of Armenia,Data Science,Bachelor,Data / ML / AI,Large Language Models,25,Data & ML
American University of Armenia,Data Science,Bachelor,Data / ML / AI,AWS,14,DevOps & Cloud
American University of Armenia,Data Science,Bachelor,Data / ML / AI,Retrieval-Augmented Generation,11,Data & ML
American University of Armenia,Data Science,Bachelor,Data / ML / AI,Power BI,11,Data & ML
American University of Armenia,Data Science,Bachelor,Data / ML / AI,Tableau,8,Data & ML
American University of Armenia,Data Science,Bachelor,Data / ML / AI,FastAPI,8,Web & Mobile Frameworks
American University of Armenia,Data Science,Bachelor,Data / ML / AI,PyTorch,8,Data & ML
American University of Armenia,Data Science,Bachelor,Data / ML / AI,Docker,7,DevOps & Cloud
