source,source_type,source_url,job_title,company_name,location,employment_type,seniority_level,industries,posting_date,deadline,skills_tags,full_text,role_group
job.am,aggregator,https://job.am/en/job/av-engineer-72195,AV Engineer,CreedRoomz,Yerevan,Full Time,Mid level,,,2026-04-10,,"Description Creedroomz is looking for an AV Engineer to join our team. Requirements Advanced knowledge of photography concepts (aperture, shutter speed, ISO, exposure, lenses). Experience in electronic engineering and broadcast/communication equipment. Advanced knowledge of video camera operation and production video switchers. Experience with live chroma keying. Strong understanding of SDI, HDMI, network systems, and AV infrastructure. Excellent color vision and hearing. Strong IT and production management skills. Strong fault-detection and creative problem-solving abilities. Excellent attention to detail, time management, flexibility, and teamwork skills. Responsibilities Participate in studio build processes by installing, configuring, and testing dedicated audio-visual equipment. Maintain equipment used for audio-video production, broadcasting, signage, and media display. Set up and monitor audio-visual transmission links between studio units. Identify and repair technical faults promptly, implementing alternative solutions where possible to minimize interruptions. Set up and operate equipment and transmission links during live broadcasts. Install custom low-power audio-visual circuits, including data, video, and audio cabling. Assemble and configure hardware systems and related AV infrastructure. Adhere strictly to health and safety regulations in the workplace. Interpret and implement technical instructions and requests from various departments. Communicate effectively with team members and cross-functional colleagues. Stay updated with industry trends and technological advancements, researching new systems and techniques. Education: Bachelor’s degree in Information Technology, Computer Science, or a related technical field. Work Experience: Minimum 2 years of experience in audio-visual engineering, broadcast production, or studio technical operations. Professional Skills: Installation and configuration of AV systems Live broadcast technical support Troubleshooting AV and transmission systems Technical documentation Personal Skills: Strong analytical thinking Responsibility and reliability Ability to work under pressure during live operations Team-oriented mindset Location: 20 Garegin Hovsepyan St, Norq-Marash, Yerevan, Armenia 122/1 Gevorg Chaushi Highway, Proshyan Village, Nairi Community, Kotayk Province, Armenia Company օverview Address Երևան, Գ․ Հովսեփյան 20 Number of employees 501-1000 Website https://www.creedroomz.com/ Phone 37444444453 Experience the thrill of real-time action and unmatched excitement with Creedroomz Live Casino. Immerse yourself in a world of high-stakes gaming, where the finest live dealers bring your favorite casino games to life. From classic table games like Blackjack, Roulette, and Baccarat to innovative live game shows, Creedroomz delivers an authentic and immersive casino experience from the comfort of your home. With cutting-edge technology, seamless streaming, and a sleek, user-friendly interface, Creedroomz ensures you enjoy every moment as if you were in a luxurious casino, no matter where you are. Join us today and take your gaming experience to the next level. Welcome to Creedroomz Live Casino – your ultimate destination for real-time casino excitement. See more Benefits Annual salary review Free foreign language courses Corporate events Flexible working schedule Medical insurance Family medical insurance Free tea, coffee and refreshments Reward system Business trips Trainings Free parking Sports Package Sports and yoga zone Parental leave",Hardware / Embedded
job.am,aggregator,https://job.am/en/job/studiayi-ajakcman-masov-texnik-71986,Ստուդիայի Աջակցման Մասով Տեխնիկ,Evolution Studio AM,Yerevan,Full Time,Mid level,,,2026-04-04,,"Աշխատանքի նկարագրություն և պարտականություններ՝ Ստուդիաների, պանելների, մոնիտորների, դեկորատիվ վահանակների, մալուխների և ստուդիայի սարքավորումների տեղադրում և սպասարկում։ Շերտավոր գորգեր, աշխատանք փայտի և մետաղի հետ, ներկերի և պարզ առաջադրանքների արհեստանոցում պարզ սարքավորումների և ագրեգատների վրա: Ստուդիաներում վիզուալ միջավայրի պատրաստում, դեկորատիվ պանելների տեղադրում Ցածր լարման տվյալների մալուխների տեղադրում Ստուդիայի կահույքի տեղադրում Համալիր սարքավորումների, ներառյալ տեսախցիկների, սկաներների, ԱՀ-ների, լույսերի տեղադրում` համաձայն տրված սխեմաների և ուղեցույցների Ձայնամեկուսիչ միջավայրերի պատրաստում, կլանիչների տեղադրում Փայտի, կտորի և մետաղի  աշխատանքների կատարում Որակավորումներ՝ Միջնակարգ կրթություն Հայերենի մասնագիտական ​​աշխատանքային իմացություն և անգլերենի բավարար աշխատանքային իմացություն Ստանդարտ գործիքների (էլեկտրական գայլիկոն, սղոց, մուրճ, էլեկտրական սղոց, էլեկտրական պտուտակահան, կարիչ և այլն) աշխատելու սկսնակ/միջանկյալ հմտություններ: Պատասխանատվության բարձր զգացում Ուղղակի կառավարման պատվերները և աշխատանքային առաջադրանքները ճշգրիտ կատարելու ունակություն Թիմում աշխատելու ունակություն Առնվազն 1 տարվա աշխատանքային փորձ որպես ատաղձագործ, շինարարություն կամ հարակից այլ ոլորտ Արտոնություններ` հանգստի և խաղային գոտիներ առողջության ապահովագրության փաթեթ, արտոնության քարտ. Company օverview Address Isakov 24/7, Yerevan, Armenia Number of employees 1001+ Website https://www.evolution.com/ Evolution is a market-leading Swedish company, developer and provider of products and services for online casino entertainment founded in 2006 and listed on Nasdaq Nordic (EVO).Across our 40+ sites, we have 20 000+ people working in the fields of Product Innovation, Software Development, Game Presenters & Hosts, IT support, Facility & Studio build as well as support services. Evolution's dynamic and creative environment creates a unique opportunity for personal and professional growth. Since entering the Armenian market in 2020, Evolution Armenia has rapidly established itself as a major employer with a reputation for excellence. We are committed to becoming one of the premier employers in the region, offering exciting career opportunities and challenging experiences. Are you ready for new opportunities and eager to gain valuable experience? If you’re prepared for challenges and growth, we want to hear from you. See more Benefits Free foreign language courses Corporate events Flexible working schedule Medical insurance Family medical insurance Free tea, coffee and refreshments Reward system Personal accident, death, illness insurance Trainings Sports Package No dress code Sports and yoga zone Parental leave",Hardware / Embedded
job.am,aggregator,https://job.am/en/job/studiayi-sarqavorumneri-ajakcman-masnaget-71985,Ստուդիայի Սարքավորումների Աջակցման Մասնագետ,Evolution Studio AM,Yerevan,Full Time,Mid level,,,2026-04-04,,"Էվոլյուշնը փնտրում է Ստուդիայի Սարքավորումների Աջակցման Մասնագետ Job Description Տեղադրել, մաքրել, փոխել և կարգավորել հիմնական սարքավորումները, Կատարել սարքավորումների փորձարկումներ, Ապահովել սարքավորումների կանխարգելիչ սպասարկում, Վերահսկել սարքավորումների աշխատանքը, կատարել գնահատումներ և որոշումներ կայացնել անհրաժեշտ գործողությունների վերաբերյալ, Ապահովել սարքավորումների առկայությունը 24/7, Զեկուցել սարքավորումների հետ կապված խնդիրների մասին, Ռուլետկա անիվների մաքրում/սպասարկում, Խաղային մեքենաների մաքրում/սպասարկում/փոխանակում, Տախտակամածի ստուգիչի մաքրում/սպասարկում, Սեղանների ստուգում, Կատարել քարտեր/սարքավորումների տեղափոխում հաստատության ներսում, Կազմակերպել սարքավորումների օգտագործումը, Մշտադիտարկել ջերմաստիճանը խաղային հարկերի և պահեստների վրա, Պահեստում գտնվող սարքավորումների մոնիտորինգ և հետևում, Համագործակցել այլ ստորաբաժանումների հետ: Qualifications Միջնակարգ կրթություն՝ (բարձրագույն, մասնագիտական և այլն), Աշխատանքային փորձը նախընտրելի է մինչև 6 ամիս, Անգլերենի գրավոր և բանավոր մասնագիտական աշխատանքային իմացություն, Ստանդարտ ծրագրային հավելվածների հետ աշխատելու փորձ, ներառյալ MS Office, Windows և այլն Պատասխանատվության բարձր զգացում, Հանձնարարված առաջադրանքները պահպանելու և վերջնաժամկետները պահպանելու ունակություն, Թիմում, ինչպես նաև ինքնուրույն աշխատելու կարողություն, Արագ արձագանք և ուշադրություն մանրուքների նկատմամբ, ճնշմանը դիմակայելու կարողություն, Գաղտնի տեղեկատվության հետ աշխատելու ունակություն, Ընկերության նպատակներին հասնելու մոտիվացիա, Տարբեր հերթափոխով աշխատելու ունակություն։ Additional information մարզադահլիճով և ճաշարանով համալրված աշխատավայր, գերժամանակակից հեռարձակման ստուդիայում աշխատանքային փորձ ձեռք բերելու հնարավորություն, մասնագիտական ​​և անհատական ​​զարգացման հնարավորություններ` կարիերայի աճի հնարավորություն, առողջության ապահովագրության փաթեթ, արտոնության քարտ Company օverview Address Isakov 24/7, Yerevan, Armenia Number of employees 1001+ Website https://www.evolution.com/ Evolution is a market-leading Swedish company, developer and provider of products and services for online casino entertainment founded in 2006 and listed on Nasdaq Nordic (EVO).Across our 40+ sites, we have 20 000+ people working in the fields of Product Innovation, Software Development, Game Presenters & Hosts, IT support, Facility & Studio build as well as support services. Evolution's dynamic and creative environment creates a unique opportunity for personal and professional growth. Since entering the Armenian market in 2020, Evolution Armenia has rapidly established itself as a major employer with a reputation for excellence. We are committed to becoming one of the premier employers in the region, offering exciting career opportunities and challenging experiences. Are you ready for new opportunities and eager to gain valuable experience? If you’re prepared for challenges and growth, we want to hear from you. See more Benefits Free foreign language courses Corporate events Flexible working schedule Medical insurance Family medical insurance Free tea, coffee and refreshments Reward system Personal accident, death, illness insurance Trainings Sports Package No dress code Sports and yoga zone Parental leave",Hardware / Embedded
job.am,aggregator,https://job.am/en/job/tesahskman-u-anvtangutyan-hamakargeri-texnik-71036,Տեսահսկման ու անվտանգության համակարգերի տեխնիկ,Homplex Hyper  Mall,"Աշտարակի խճուղի, գ․ Պռոշյան",Full Time,Senior,,,2026-04-09,,"Տեսահսկման, ազդանշանային և անվտանգության այլ համակարգերի տեղադրում, կարգավորում և գործարկում Տեխնիկական սպասարկում և անսարքությունների ախտորոշում ու վերացում Համակարգերի ծրագրային կարգավորումներ (DVR/NVR, IP տեսախցիկներ և այլն) Անվտանգության և աշխատանքային կանոնների պահպանում Մալուխների անցկացում, սարքավորումների միացում և փորձարկում

Անվտանգության համակարգերի վերաբերյալ գիտելիքներ Տեսահսկման համակարգերի վերաբերյալ գիտելիքներ Համակարգչային գիտելիքներ Պատասխանատվության բարձր զգացում և ճշգրտություն Թիմում և ինքնուրույն աշխատելու կարողություն Աշխատանքային փորձ առնվազն 1 տարի

Աշխատանքային օրեր և ժամեր՝ 6-օրյա, հասցե ՝  Աշտարակի խճուղի, գ․ Պռոշյան, Գ․ Չաուշ 1/48 Company օverview Address Աշտարակի խճ․, գյուղ Պռոշյան , Գ․ Չաուշ 1/48 Number of employees 501-1000 Website https://homplex.am/ Phone 37494257567 Homplex Mall-ը Երևանի ամենամեծ առևտրի և ժամանցի կենտրոններից մեկն է։ Մոլը հիմնականում մասնագիտացած է շինարարական, վերանորոգման, տան պարագաների և կենցաղային տեխնիկայի ոլորտում, ինչի շնորհիվ այն առաջնային վայր է նրանց համար, ովքեր ցանկանում են կառուցել կամ վերանարոգել իրենց տունը վերջին նորարարություններով և տեխնոլոգիաներով: See more Benefits Annual salary review Corporate events Trainings Free parking",Hardware / Embedded
linkedin,aggregator,https://am.linkedin.com/jobs/view/voice-audio-embedded-dsp-software-developer-at-alango-technologies-4382651708?refId=gFdaRa43%2FJGobaFKXXQDwg%3D%3D&trackingId=tYQMEm6VsuEKeLxk5d6G%2FA%3D%3D&position=22&pageNum=3,Voice/Audio embedded DSP software developer,Alango Technologies,"Yerevan, Armenia",Full-time,,,2026-03-18,,,"About Alango Technologies Alango Technologies is a leading innovator in embedded DSP and AI software, with more than 20 years of experience in speech, audio, and hearing enhancement. Our technologies power a wide range of products, including automotive infotainment systems, headphones, Bluetooth earbuds, hearing aids, conferencing systems, and voice-enabled IoT devices.We develop licensable software solutions that deliver high audio quality and ultra-low latency, with advanced features such as acoustic echo cancellation, noise reduction, adaptive microphone processing, and sound personalization. Our technologies are trusted worldwide and certified for Microsoft Teams, Zoom, and ITU-T standards.
About the Role We are looking for a full-time Voice/Audio Embedded Signal Processing Software Engineer to join our team in Yerevan, Armenia.In this role, you will work on the implementation and optimization of DSP algorithms for embedded systems and collaborate with cross-functional teams to ensure excellent product performance and audio quality.
RequirementsAt least 3 years of experience in embedded signal processing software developmentHands-on experience in voice and audio processingStrong programming and problem-solving skills in embedded environmentsGood communication skills in English
Why Join Alango You will have the opportunity to work on advanced speech and audio technologies used in real products around the world, helping shape the future of voice communication, hearing enhancement, and intelligent audio devices.",Hardware / Embedded
linkedin,aggregator,https://am.linkedin.com/jobs/view/asic-dft-dv-technical-leader-at-cisco-4371429132?refId=JraSu5ox0lZoYgDgiPZfpA%3D%3D&trackingId=8QJccubv0edYbsh%2BZP3cyA%3D%3D&position=12&pageNum=14,ASIC DFT DV Technical Leader,Cisco,Armenia,Full-time,Mid-Senior level,Software Development,2026-02-11,,,"This is a hybrid role with four days per week at Cisco’s Yerevan office.

Meet the Team

Our team is dedicated to advancing DFT architecture to ensure robust test planning and development that supports ATE screening, in-system testing, debugging, and diagnostics. We collaborate closely with design, design-verification, and product development teams to integrate and validate test logic throughout implementation and post-silicon validation phases. Comprising experienced engineers passionate about innovation, our team fosters a collaborative and dynamic environment focused on developing reusable test and debug methodologies for new silicon device models, including bare die and stacked die. What excites us most is driving cutting-edge hardware DFT strategies and solving complex challenges that directly impact the quality and reliability of Cisco’s silicon products.

Your Impact

Lead the development and execution of comprehensive test benches to verify DFT architectures, ensuring thorough coverage of design specifications. Collaborate cross-functionally to integrate test logic and validate it across all implementation stages and post-silicon validation flows. Drive innovation in hardware DFT and test strategies for emerging silicon device models, promoting reusable methodologies and standards. Identify DFT challenges, facilitate solution brainstorming, and develop implementation plans while mentoring junior engineers to meet project timelines. Your work will directly enhance test coverage, debug efficiency, and product quality, making a significant impact on Cisco’s silicon design and validation processes.

Minimum Qualifications

Bachelor’s or Master’s Degree in Electrical, Computer Engineering or any relevant field.10+ years of experience in design verification or ASIC design.Proven experience in test planning based on complex design specifications.Proficiency in debugging using DVE/Verdi tools.Experience in scripting languages like Tcl, Python, or Perl.

Preferred Qualifications

Experience in testbench development using SystemVerilog.Knowledge of JTAG protocol, scan architecture, MBIST, and boundary scan.Familiarity with innovative hardware DFT and test strategy development.Ability to lead and mentor engineers.Strong problem-solving skills with minimal mentorship.

Why Cisco?

At Cisco, we’re revolutionizing how data and infrastructure connect and protect organizations in the AI era – and beyond. We’ve been innovating fearlessly for 40 years to create solutions that power how humans and technology work together across the physical and digital worlds. These solutions provide customers with unparalleled security, visibility, and insights across the entire digital footprint.

Fueled by the depth and breadth of our technology, we experiment and create meaningful solutions. Add to that our worldwide network of doers and experts, and you’ll see that the opportunities to grow and build are limitless. We work as a team, collaborating with empathy to make really big things happen on a global scale. Because our solutions are everywhere, our impact is everywhere.

We are Cisco, and our power starts with you.",Hardware / Embedded
linkedin,aggregator,https://am.linkedin.com/jobs/view/asic-dft-sdc-development-engineer-at-cisco-4367613285?refId=bTH9uAJxPeeYpzcP%2FP4AYQ%3D%3D&trackingId=sfXUvHgoAEHkSg1bcMpc9A%3D%3D&position=6&pageNum=13,ASIC DFT SDC Development Engineer,Cisco,Armenia,Full-time,Not Applicable,Software Development,2026-01-30,,,"Meet the team

Join the Silicon One Team at Cisco, a group at the forefront of developing Cisco's groundbreaking silicon architecture. We are a collaborative unit focused on pushing the boundaries of ASIC design for advanced process nodes. As part of our team, you will contribute to defining innovative Physical Design methodologies and creating robust flows essential for developing our complex chips. You will also have the opportunity to work hands-on with the Physical Design of intricate chip partitions.

Your Impact

You are a detail-oriented DFT Timing Engineer with strong analytical skills and a deep understanding of timing constraints, such as clock groups, various exceptions, clock exclusivity.

You will collaborate effectively with cross-functional teams, communicate complex timing data clearly.

Responsibilities Will Include

Developing timing constraints at block, sub-chip, and full-chip levels in test modes, performing quality checks such as duplicated constraints, promotion/demotion between block and top level SDCs.Check timing for unconstrained endpoints, no clock, etc.Your role may include SDC validation, CDC delay check, and SDC flow development.Developing methodologies, guidelines, and checklists to streamline STA work, resolve design and flow issues, and drive execution to ensure progress and accuracy.

Minimum Qualifications

Bachelor’s degree in electrical or computer engineering (or other equivalent field) with 5+ years of related work experience.Experience with block/full chip SDC development in test modes (scan shift, scan capture, atpg capture modes).Expertise in Static Timing Analysis and prior working experience with STA tools like PrimeTime.Programming skills in at least 2 or more of the following languages: Perl, TCL, Python, Makefile, or other relative scripting languages.

Preferred Qualifications

Master’s degree in electrical or computer engineering (or other equivalent field) with 4+ years of related work experience.Background in debugging and analyzing timing constraints, timing closure of DFT modes such as scan shift/capture and BIST.Prior working experience with SDC debugging & STA tools: Synopsys GCA/TCM/Primetime.Prior working experience with synthesis tools: Synopsys Fusion Compiler.Prior working experience with Tessent tool: DFT insertion in RTL.Strong communication skills and team player.

Why Cisco?

At Cisco, we’re revolutionizing how data and infrastructure connect and protect organizations in the AI era – and beyond. We’ve been innovating fearlessly for 40 years to create solutions that power how humans and technology work together across the physical and digital worlds. These solutions provide customers with unparalleled security, visibility, and insights across the entire digital footprint.

Fueled by the depth and breadth of our technology, we experiment and create meaningful solutions. Add to that our worldwide network of doers and experts, and you’ll see that the opportunities to grow and build are limitless. We work as a team, collaborating with empathy to make really big things happen on a global scale. Because our solutions are everywhere, our impact is everywhere.

We are Cisco, and our power starts with you.",Hardware / Embedded
linkedin,aggregator,https://am.linkedin.com/jobs/view/asic-design-verification-engineer-at-cisco-4380916643?refId=JgXs1TVRwKV2dQRcSxEgHA%3D%3D&trackingId=2Dcu7zqkzGRpe5CcX7kjrw%3D%3D&position=7&pageNum=7,ASIC Design Verification Engineer,Cisco,Armenia,Full-time,Mid-Senior level,Software Development,2026-03-04,,,"This is a hybrid role with four days per week at Cisco’s Yerevan office.

Meet the Team

Join our innovative ASIC Verification team, dedicated to ensuring the reliability and functionality of advanced digital designs. Our work is integral to delivering high-quality solutions that power next-generation products across the organization. The team is comprised of experienced engineers with diverse backgrounds, fostering a collaborative and energetic environment. We thrive on tackling challenging projects and leveraging the latest verification methodologies. With a strong focus on continuous learning and technical excellence, this team offers a dynamic and exciting place to grow your career.

Your Impact

Drive comprehensive test planning and development of robust test benches to support cutting-edge ASIC projects. Collaborate closely with design, design-verification, and physical design (PD) teams to integrate and validate test logic throughout all phases of implementation. Identify and resolve technical issues by leveraging advanced debugging tools and scripting skills. Develop and refine verification strategies to ensure optimal coverage and efficiency. Contribute to delivering high-quality, reliable products that advance technology and innovation.

Minimum Qualifications

Bachelor’s or Master’s Degree in Electrical or Computer Engineering or any related field.3+ years of experience in design verification.Demonstrated experience in test planning based on complex design specifications.Proven expertise in testbench development using System Verilog.Hands-on debugging experience preferably with DVE and Verdi tools.Proficiency in scripting languages with at least one of Tcl, Python, or Perl.

Preferred Qualifications

Knowledge of UVM and System Verilog.Strong problem-solving and analytical skills.Ability to work effectively in cross-functional teams.Good communication skills and ability to work in a team environment.Experience adapting verification strategies for AI calibration and emerging technologies.

Why Cisco?

At Cisco, we’re revolutionizing how data and infrastructure connect and protect organizations in the AI era – and beyond. We’ve been innovating fearlessly for 40 years to create solutions that power how humans and technology work together across the physical and digital worlds. These solutions provide customers with unparalleled security, visibility, and insights across the entire digital footprint.

Fueled by the depth and breadth of our technology, we experiment and create meaningful solutions. Add to that our worldwide network of doers and experts, and you’ll see that the opportunities to grow and build are limitless. We work as a team, collaborating with empathy to make really big things happen on a global scale. Because our solutions are everywhere, our impact is everywhere.

We are Cisco, and our power starts with you.",Hardware / Embedded
linkedin,aggregator,https://am.linkedin.com/jobs/view/asic-design-verification-technical-leader-at-cisco-4380914759?refId=haoU0HerXhmQRkgf8Mze5g%3D%3D&trackingId=SrEEDG3gRZOI2m%2B6GmhG3A%3D%3D&position=15&pageNum=12,ASIC Design Verification Technical Leader,Cisco,Armenia,Full-time,Mid-Senior level,Software Development,2026-03-04,,,"This is a hybrid role with four days per week at Cisco’s Yerevan office.

Meet the team

Join a dynamic group dedicated to ensuring robust test infrastructure for cutting-edge hardware solutions. Our team collaborates closely with design and product development teams, playing a pivotal role in the integration and validation of test logic throughout the development lifecycle. With a diverse mix of experienced engineers, the team thrives on innovation, problem-solving, and mutual support. The fast-paced, collaborative environment provides opportunities to learn and grow while working on industry-leading technologies. What’s exciting is the chance to influence product quality and reliability at a foundational level.

Your impact

Drive comprehensive test planning and develop advanced test benches to ensure design integrity. Collaborate with cross-functional teams to integrate and validate test logic at every phase of implementation. Utilize scripting and debugging tools to streamline verification workflows and identify issues efficiently. Apply your expertise to optimize test processes and enhance product quality. Deliver critical verification solutions that directly impact the success and reliability of our products.

Minimum Qualifications

Bachelor’s or Master’s Degree in Electrical or Computer Engineering or any related field.7+ years of experience in design verification.Prior experience in test planning based on complex design specifications.Proficiency in testbench development using System Verilog.Debugging experience preferably using DVE and Verdi.Strong scripting skills with at least one of Tcl, Python and Perl.Knowledge of constrained-random verification and functional coverage.Knowledge of ASIC design flow and verification methodologies.

Preferred Qualifications

UVM and advanced System Verilog knowledge.Knowledge of JTAG protocol.Familiarity with SLM IP and verification strategies.Ability to work effectively in cross-functional teams.Strong analytical and problem-solving skills.Good communication skills and ability to work in a team environment.

Why Cisco?

At Cisco, we’re revolutionizing how data and infrastructure connect and protect organizations in the AI era – and beyond. We’ve been innovating fearlessly for 40 years to create solutions that power how humans and technology work together across the physical and digital worlds. These solutions provide customers with unparalleled security, visibility, and insights across the entire digital footprint.

Fueled by the depth and breadth of our technology, we experiment and create meaningful solutions. Add to that our worldwide network of doers and experts, and you’ll see that the opportunities to grow and build are limitless. We work as a team, collaborating with empathy to make really big things happen on a global scale. Because our solutions are everywhere, our impact is everywhere.

We are Cisco, and our power starts with you.",Hardware / Embedded
linkedin,aggregator,https://am.linkedin.com/jobs/view/asic-digital-design-engineer-at-cisco-4372710748?refId=JgXs1TVRwKV2dQRcSxEgHA%3D%3D&trackingId=%2FwdRkfGyy01Bmh%2FzGMCZxg%3D%3D&position=5&pageNum=7,ASIC Digital Design Engineer,Cisco,Armenia,Full-time,Mid-Senior level,Software Development,2026-02-13,,,"This is a hybrid role with four days per week at Cisco’s Yerevan office.

Meet the Team

The Common Hardware Group delivers the silicon, optics, and hardware platforms for Cisco's core Switching, Routing, and Wireless products. The team designs networking hardware for Enterprises, Service Providers, the Public Sector, and Non-Profit Organizations worldwide. Cisco Silicon One (#CiscoSiliconOne) is the only unifying silicon architecture in the market, enabling customers to deploy best-of-breed silicon from TOR switches through web-scale data centers and across service provider and enterprise networks with a fully unified routing and switching portfolio. The team is composed of highly skilled engineers working on some of the most complex ASICs in the industry, fostering a collaborative and innovative environment. Joining this team means contributing to groundbreaking solutions that shape the future of networking silicon.

Your Impact

You will be a key member of the Silicon One development organization, collaborating closely with Front-end RTL and backend physical design teams to deeply understand chip architecture. Drive high-quality Design for Test (DFT) verification to ensure robust and reliable silicon solutions that meet Cisco’s standards for performance and innovation. Take part in all aspects of digital design, from micro-architecture to RTL design and qualification. Integrate and verify sub-systems/SoCs, review and enhance RTL codes, and improve flows and methodologies to streamline IP/SoC development and integration. Work closely with the verification team for complex debug and resolution of verification failures, and interact with the physical design team to achieve better physical design Quality of Results (QoR).

Minimum Qualifications

5+ years of industry experience in ASIC digital design.Proficient in Verilog/System Verilog coding.Experience with front-end tools such as Verilog simulators, linting, CDC checkers, synthesis, and formal verification.Proficiency to use at least one scripting language (Python, Tcl, and Make).Fluency in English, both spoken and written.

Preferred Qualifications

Familiarity with ASIC development flow.Experience with industry-standard interface protocols such as AMBA (AXI, APB, AHB), JTAG, and memories.Familiarity with power optimization techniques, power intent (UPF), and power estimation.Familiarity with DFT/MBIST is a plus.Good communication skills, self-motivated, and well-organized.

Why Cisco?

At Cisco, we’re revolutionizing how data and infrastructure connect and protect organizations in the AI era – and beyond. We’ve been innovating fearlessly for 40 years to create solutions that power how humans and technology work together across the physical and digital worlds. These solutions provide customers with unparalleled security, visibility, and insights across the entire digital footprint.

Fueled by the depth and breadth of our technology, we experiment and create meaningful solutions. Add to that our worldwide network of doers and experts, and you’ll see that the opportunities to grow and build are limitless. We work as a team, collaborating with empathy to make really big things happen on a global scale. Because our solutions are everywhere, our impact is everywhere.

We are Cisco, and our power starts with you.",Hardware / Embedded
