source,source_type,source_url,job_title,company_name,location,employment_type,seniority_level,industries,posting_date,deadline,skills_tags,full_text,role_group
job.am,aggregator,https://job.am/en/job/it-support-specialist-69311,IT Support Specialist,CreedRoomz,"Nork-Marash, Yerevan",Full Time,Mid level,,,2026-04-09,,"CreedRoomz is looking for IT Support Specialist to join our team.

Identify hardware and software solutions, troubleshoot technical issues, diagnose and repair faults. Resolve network issues, Install and configure hardware and software. Provide timely and accurate customer feedback, follow up with clients to ensure the problem is resolved. Replace or repair the necessary parts. Support the roll-out of new applications and manage multiple cases at one time. Test and evaluate new technologies, conduct electrical safety checks on equipment. Provides technical support for internal end users on routine hardware and software problems including operating system support, application support, system access problems and database support. Inputs data in Help Desk tracking system and assists with maintenance. Provide daily support to users of various computer systems including answering questions, analyzing problems, and quickly forming solutions to return systems to proper operation. Communicate clearly and effectively with end users, colleagues, and management to quickly resolve issues and ensure customer satisfaction. Create and implement new processes to improve efficiency and customer satisfaction while reducing costs.

Bachelor's degree (basic technical skills are preferable) in IT. Strong communication skills and ability to remain calm and professional in all circumstances. Quickly identify problems, form solutions, and execute step-by-step troubleshooting procedures. Working knowledge of PC operating systems and Microsoft Office Applications. Good communication skills is a must, good team member Proficiency in Windows OS. Experience with remote desktop applications and help desk software. Attention to detail and good problem-solving skills. Excellent interpersonal skills. Good written and verbal communication.",IT Support / Admin / ERP
job.am,aggregator,https://job.am/en/job/1c-cragreri-pordzaru-masnaget-1c-specialist-70712,1C ծրագրերի փորձառու մասնագետ / 1C Specialist,O2 Gardens,"Ajapnyak, Yerevan",Full Time,"Mid level, Senior",,,2026-04-19,,"O2 Gardens-ը փնտրում է 1C ծրագրերի փորձառու մասնագետ, ով կմիանա մեր թիմին և կապահովի 1C ERP և 1C Հաշվապահություն, 8.3 ծրագրերի աշխատանքը: 📌 Պարտականություններ Տվյալների փոխանակման մեխանիզմների իմացություն՝ XML, JSON, CommerceML, Excel 1C ERP / 1C Հաշվապահություն 8.3 համակարգերի սպասարկման առնվազն 1–2 տարվա աշխատանքային փորձ, 1C համակարգում փաստաթղթերի, ռեգիստրների, հաշվետվությունների և հիմնական օբյեկտների կառուցվածքի խորքային իմացություն Վեբ կայքերի ինտեգրման փորձ այլ համակարգերի հետ (CMS, API, տվյալների ներմուծում և արտահանում) 📌 Պահանջներ Տեխնիկական խնդիրներին արագ լուծմներ տալու կարողություն Կառուցվածքային մտածողություն, բարձր տեխնիկական գրագիտություն Գերազանց հաղորդակցման հմտություններ՝ աշխատակիցներին աջակցելու, խնդիրները հասկանալի ներկայացնելու և լուծումներ առաջարկելու համար 1C Professional կամ 1C Specialist սերտիֆիկատները կդիտվեն որպես առավելություն։

Մենք առաջարկում ենք՝ Կայուն և երկարաժամկետ համագործակցություն Մասնագիտական աճի հնարավորություն Ընկերական և պրոֆեսիոնալ թիմ Մրցունակ աշխատավարձ (ըստ փորձի) 📍 Աշխատանքի վայր ք․Երևան, Սիլիկյան թաղամաս, 13-րդ փողոց, Հ 2/8 📩 Հետաքրքրված թեկնածուները կարող են ուղարկել իրենց ինքնակենսագրականը (CV) Company օverview Address Սիլիկյան թաղամաս, 13-րդ փողոց, Հ 2/8, Yerevan, Armenia, 0029, Yerevan, Armenia Number of employees 51-150 Website https://www.instagram.com/o2_gardens_/ Phone +374 43 999027 🌿 Կանաչապատման համալիր ծառայություններ 🌿 Բույսերի և ծաղկամանների ամենամեծ տեսականին Հայաստանում 🌿 Բնական կանաչ պատեր 🌱 Կանաչ տուրեր See more Benefits Annual salary review Corporate events Reward system Free parking Paid day-offs No dress code",IT Support / Admin / ERP
job.am,aggregator,https://job.am/en/job/1c-erp-masnaget-72524,1C ERP մասնագետ,Նոր Փրոջեկտս ՍՊԸ,Abovyan,Full Time,Senior,,,2026-04-19,,"Նոր Փրոջեկտսը փնտրում է փորձառու 1C ERP մասնագետ , ով պատասխանատու կլինի համակարգի արդյունավետ աշխատանքի ապահովման, բիզնես գործընթացների ավտոմատացման և տեխնիկական աջակցության համար։

1C ERP համակարգի կարգավորում և սպասարկում Նոր ֆունկցիոնալ հնարավորությունների ներդրում Օգտատերերի հարցերի լուծում և խորհրդատվություն Համակարգի աշխատանքի վերլուծություն և օպտիմիզացում

Աշխատանքային փորձ 1C ERP համակարգի հետ 1C ծրագրի կոնֆիգուրացիաների լավ իմացություն ERP համակարգերի և բիզնես գործընթացների լավ պատկերացում Պատասխանատվություն և թիմային աշխատանք Ավելացրու որ բարձր աշխատավարձ կլինի",IT Support / Admin / ERP
linkedin,aggregator,https://am.linkedin.com/jobs/view/technical-support-representative-at-1840-company-4387425194?refId=VNze5bb2uADZeyNAiFbdUw%3D%3D&trackingId=FfSh1PPCpzkKuK%2BPesc%2BpQ%3D%3D&position=8&pageNum=2,Technical Support Representative,1840 & Company,"Yerevan, Yerevan, Armenia",Full-time,Associate,Outsourcing and Offshoring Consulting,2026-03-18,,,"Overview

About the Job

We are seeking a Technical Support Representative to provide remote software troubleshooting and support for a company utilizing the ServiceTitan platform.

Job Details

 Employment Type: Full-Time Direct Employee Department: Information Technology (IT) Job Level: Senior Experience: 2 Years Education: Bachelors

Responsibilities

Provide remote technical support to users experiencing software or system-related issues.

 Troubleshoot platform errors, configuration problems, and user access issues. Assist users with system navigation, workflows, and best practices. Support the onboarding and implementation of new users or teams onto the platform. Document issues, troubleshooting steps, and resolutions in the ticketing system. Escalate complex technical issues when necessary while ensuring proper follow-up. Collaborate with internal teams to resolve recurring technical challenges and improve processes. Maintain a high level of customer service while supporting users in a remote environment.

Required Qualifications

 Previous experience in technical support, helpdesk, or software support roles. Strong troubleshooting and problem-solving skills. Experience supporting SaaS platforms or business software applications. Excellent written and verbal communication skills. Ability to clearly explain technical concepts to non-technical users. Ability to manage multiple support requests in a fast-paced environment. Proficiency with the ServiceTitan platform.

Salary & Benefits

 Pay: Hourly, $ 10.00 – 12.00 Break: Unpaid, 30 mins

Working Hours

 Monday: 09:00 - 21:09 Tuesday: 09:00 - 21:09 Wednesday: 09:00 - 21:09 Thursday: 09:00 - 21:09 Friday: 09:00 - 21:09

Additional Requirements

 Tech Requirements: Windows or Mac Language: English

About The Company

1840 & Company is a global leader in Business Process Outsourcing (BPO) and remote talent solutions, dedicated to propelling businesses forward through our comprehensive suite of services. We specialize in connecting companies with world-class freelance professionals and delivering top-tier outsourcing services, across over 150 countries worldwide.

",IT Support / Admin / ERP
linkedin,aggregator,https://am.linkedin.com/jobs/view/senior-data-specialist-at-alex-staff-4373926053?refId=f38afVhc8fiIhVgJKkhmtw%3D%3D&trackingId=Fouvjfun8Yjnt6VXSFXG5g%3D%3D&position=14&pageNum=0,Senior Data Specialist,Alex Staff,Armenia,Full-time,Mid-Senior level,IT Services and IT Consulting,2026-02-17,,,"We need someone who understands data deeply and uses Python to wrangle it — not a platform engineer, not a pure pipeline builder, but a data specialist who's comfortable with research, investigation, and the unglamorous work of making messy energy market data actually usable.

You'll spend significant time on tasks like: mapping BM units to power plants and fuel types, reconciling legacy data formats with current ones, ensuring consistency between different Elexon message types, and cleaning time-series data (outliers, gaps, overlaps). Some of this requires genuine investigation — cross-referencing sources, making judgment calls, documenting edge cases. There's no API that solves these problems for you.

Python is your primary tool (Pandas, Numpy, standard libraries) to minimise manual effort, but you should be comfortable that some detective work is unavoidable. If you find satisfaction in truly understanding a dataset's structure and quirks — rather than just piping data through and hoping for the best — this role is for you.

Data Mapping and Research

 Map BM units from Elexon to their corresponding power plants, substations, and fuel types — combining API data, public registers, and manual research Map substations to ETYS zones and grid supply points Build and maintain reference/master datasets that link identifiers across disparate sources (Elexon, National Grid ESO, TEC register, etc.) Document mappings, assumptions, and known limitations clearly for downstream users

Data Reconciliation and Consistency

 Reconcile legacy data formats with current formats (e.g., historical operational data stored in different schemas or granularities) Ensure consistency between different Elexon message types — understand the market data structure well enough to know why BOALF, BOD, and DISBSAD might not perfectly align and how to handle it Investigate discrepancies between data sources and determine authoritative values

Data Cleaning and Quality

 Clean time-series data: detect outliers (price spikes, meter errors), fill gaps appropriately, resolve overlapping or duplicate timestamps Develop reusable Python-based cleaning routines that can be applied across datasets Understand why data quality issues occur (settlement reruns, late submissions, format changes) not just patch them

Pipeline Development (Supporting the Above)

 Write and maintain Python data grabbers for energy market APIs Build dbt models to transform raw data into clean, analysis-ready datasets Orchestrate workflows via GitHub Actions Design PostgreSQL schemas that reflect your understanding of the domain

Requirements

Must Have

 Strong Python skills for data work — you're fluent with pandas, comfortable writing clean, testable code, and can build reusable data processing logic. This is not an Excel role Solid SQL skills — complex queries, window functions, CTEs in PostgreSQL Experience with messy, real-world data — you've done reconciliation, cleaning, or mapping work before and understand it's not always automatable Methodical and detail-oriented — you notice inconsistencies and want to understand root causes Experience with messy, real-world data — you've done reconciliation, cleaning, or mapping work before and understand it's not always automatable Methodical and detail-oriented — you notice inconsistencies and want to understand root causes Good documentation habits — you know that undocumented mappings and assumptions are technical debt Self-directed — you can own ambiguous problems, do your own research, and communicate findings clearly

Nice to Have

 Experience with energy, utilities, or market data (any geography) Familiarity with UK energy markets, Elexon data, or grid operations dbt experience for transformation pipelines Exposure to time-series data challenges (irregular timestamps, gaps, restatements)

Highly Desirable — Agentic AI Coding Experience

We value candidates who can build software using agentic AI coding systems. This is fundamentally

different from using code completion tools or chat-based assistants.

What we're NOT looking for:

 GitHub Copilot (code completion/autocomplete) ChatGPT or similar chat interfaces for generating isolated code snippets Any tool that only provides single-turn question/answer interactions

What we ARE looking for: Hands-on experience with agentic coding systems such as Claude Code,

Codex (OpenAI's agentic coding tool), Open Code, or Cursor.

Ideal candidates will demonstrate: 

 Breadth of experience — proficiency with at least 2 agentic systems (experience with only one is insufficient) End-to-end development — ability to design and build software from the ground up using these tools, not just generating isolated snippets Multi-agent orchestration — demonstrated experience orchestrating multiple agents using skills, tools, and agent

coordination, not just one-shot problem solving

 Deep system knowledge — familiarity with hooks, permission systems, MCP (Model Context Protocol) servers, custom skills and tool definitions, and context management

Not What We're Looking For

 Platform/infrastructure engineers who prefer to stay above the data layer People who expect clean, well-documented data as input Those uncomfortable with research, ambiguity, or ""manual"" investigation work

Practicalities

 Remote-first with async collaboration (Slack, GitHub, documented decisions) Core overlap with UK business hours expected (at least 4 hours daily) Competitive compensation based on location and experience

Benefits

Plenty of opportunities for learning and professional growthB2b contract with a paid vacation",IT Support / Admin / ERP
linkedin,aggregator,https://am.linkedin.com/jobs/view/corporate-applications-administrator-at-brainrocket-4378501481?refId=FdZnyJeJAXYeZcIj6BWNUA%3D%3D&trackingId=8CzrhoOyw%2BvETDgxVSm6Cg%3D%3D&position=18&pageNum=3,Corporate Applications Administrator,BrainRocket,"Yerevan, Armenia",Full-time,Mid-Senior level,Gambling Facilities and Casinos and Software Development,2026-03-03,,,"❗️ Important – On-Site Role❗️This is an on-site position based at one of our offices. Remote or hybrid arrangements are not available. Candidates must already be in the location or be willing to relocate. The relocation support will be provided if needed.
BrainRocket is a global company creating end-to-end tech products for clients across Fintech, iGaming, and Marketing. Young, ambitious, and unstoppable, we've already taken Cyprus, Malta, Portugal, Poland, and Serbia by storm. Our BRO team consists of 1,300 bright minds creating innovative ideas and products. We don’t follow formats. We shape them. We build what works, launch it fast, and make sure it hits.
We are looking for a Corporate Applications Administrator to join our Information Security team at one of our offices in Valencia (Spain), Lisbon (Portugal), Warsaw (Poland), Sofia (Bulgaria), Belgrade (Serbia), or Yerevan (Armenia).
✅ Requirements:✔️ Bachelor’s or Master’s degree in IT, Computer Science, Cybersecurity, or a related field✔️ English: Intermediate level or higher✔️ Minimum 2 years of experience in administering enterprise SaaS platforms✔️ Practical experience with Google Workspace (GSuite) and Okta administration✔️ Understanding of IAM protocols (SAML, OIDC, SCIM)✔️ Familiarity with access control principles: least privilege, RBAC, Zero Trust✔️ Experience with directory services (LDAP, Active Directory)✔️ Exposure to cloud environments (AWS, Azure) is a plus✔️ Attention to detail in configuration management and platform hygiene✔️ Ability to troubleshoot, document, and escalate issues effectively
✅ Responsibilities:✔️ Platform Availability & Support:- Ensure operational stability of IAM-relevant corporate platforms (e.g., Okta, Google Workspace, Slack, other)- Handle configuration management, monitoring, and incident resolution- Coordinate testing and validation of changes before production rollout✔️ Security & Access Control:- Maintain secure configuration baselines for IAM-relevant corporate platforms- Apply and monitor access policies based on Zero Trust and least privilege principles- Administer authentication, SSO, MFA, and identity lifecycle across integrated applications in accordance with baselinea and corporate policies✔️ Process Automation & Platform Optimization:- Automate routine tasks related to user and access management (e.g., provisioning, deprovisioning)- Identify areas for operational efficiency and implement platform improvements- Expand use of platform-native capabilities (e.g., Okta Workflows, Google automation tools, etc)✔️ Integration & IAM Architecture Support:- Manage and support integrations with AD, LDAP, cloud providers (AWS, Azure, GCP), servers, and business-critical applications- Ensure consistency with IAM architecture and security requirements across systems✔️ Documentation & Process Management- Maintain clear and current documentation of configurations, processes, and access models- Support internal audits and ensure readiness for compliance assessments- Contribute to IAM process governance and standardization initiatives
✅ We offer excellent benefits, including but not limited to:🧑🏻 💻 Learning and development opportunities and interesting, challenging tasks✈️ Relocation package (tickets, staying in a hotel for up to 2 weeks, and visa relocation support for our employees and their family members)📚 Opportunity to develop language skills, with partial compensation for the cost of English/Spanish language classes (for localization purposes)🏥 Private medical coverage🏝 Time for proper rest, with 20 non-business days per year and an additional 6 paid sick days📈 Competitive remuneration level with annual review🤝 Team building activities
Bold moves start here. Make yours. Apply today!",IT Support / Admin / ERP
linkedin,aggregator,https://am.linkedin.com/jobs/view/technical-support-engineer-at-commit-4383724188?refId=iPWmShRkQAC5eHSv2RVE4A%3D%3D&trackingId=%2FhahS967TGXRfDBquS94Xg%3D%3D&position=4&pageNum=0,Technical Support Engineer,Commit,"Yerevan, Yerevan, Armenia",Full-time,Not Applicable,Software Development,2026-03-10,,,"We are seeking a highly skilled Technical Support Engineer to join our dynamic team. In this role, you will provide top-tier technical support, troubleshoot issues, and ensure the smooth operation of our financial data services. The ideal candidate will have a strong background in cloud technologies, API usage, and data analysis, and will excel in managing and resolving data-related issues, especially those related to stock coverage and timely updates.

Key Responsibilities:

Provide technical assistance and support for incoming queries and issues related to our financial data services.Diagnose and troubleshoot technical issues, including data discrepancies and integration problems.Ensure the timely and effective resolution of client issues while maintaining high customer satisfaction.Monitor and manage the flow and updates of data, ensuring accuracy and timeliness of stock data coverage.Assist clients in integrating Bridgewise APIs into their systems, offering guidance on best practices and troubleshooting integration challenges.Collaborate closely with the Customer Success team to ensure a seamless onboarding experience for new clients.Conduct product training sessions to help clients maximize their use of Bridgewise’s tools and services.

Requirements:

Required Experience and Skills:

Technical Proficiency:

Experience with cloud platforms and technologies.Proficiency in API usage and support.Familiarity with data analysis tools and techniques.

Industry Experience:

Previous experience in a technical support role, preferably within the fintech industry (Level 2 support).Experience with stock data and financial analysis is a plus.

Key Skills:

Excellent analytical and troubleshooting abilities.Strong communication skills, with the ability to convey technical issues to non-technical users.Ability to manage multiple tasks and prioritize effectively.",IT Support / Admin / ERP
linkedin,aggregator,https://am.linkedin.com/jobs/view/jira-administrator-at-egs-4384846578?refId=xxdbtCEuRu%2Bc4eFQ4IDVLg%3D%3D&trackingId=dGH8y6PIkQ5eQ%2FQbOJAZRA%3D%3D&position=8&pageNum=0,JIRA Administrator,EGS,"Yerevan, Yerevan, Armenia",Full-time,Entry level,Hospitals and Health Care,2026-03-12,,,"Company Description

With 15+ years of experience in IT, global partners and clients, Energize Global Services (EGS) is a solid, leading-edge Technology Company focused on delivering software services and products for the Banking and Financial Management Industry. We are specialized in developing Banking Systems, all types of payment solutions and other large applications. Over the years EGS proved to be a reliable and trusted partner for the biggest player in the Financial technology industry. Join our team in Yerevan, elevate your career to a new level by becoming part of a team that is shaping the future of Fintech.

Job Description

We are seeking a JIRA Administrator to provide enterprise-level support to our customers. The ideal candidate will possess strong English communication skills and demonstrated experience with JIRA administration.

Qualifications

Experience with Jira and ConfluenceExperience with Rest APIUnderstanding of Jira Query LanguageFluent English communication skills

Job responsibilities

Implement changes/updates in existing JIRA projects based on incoming requestsEstablish new JIRA/Confluence Projects with all their components (new workflows, field configurations, permission schemes, etc. )Provide day-to-day JIRA and Confluence Projects support to employeesSupport JIRA and Confluence administration, including creation and management of custom projects, workflows, security schemes, custom fieldsProvide User Management and grant user permissions in accordance with project roles following Internal Security protocolsSet access permissions for JIRA projects and Confluence spaces in accordance with established proceduresCreate, maintain and support dashboards and advanced filters for end users reporting capabilitiesWork with third-party add-ons to extend Jira functionality as neededEscalate issues to higher administration team upon exhausting troubleshooting options

Additional Information

Why Join Us?

Competitive compensation and benefits. A collaborative, tech-driven team culture.",IT Support / Admin / ERP
linkedin,aggregator,https://am.linkedin.com/jobs/view/senior-sap-fico-consultant-at-epam-systems-4363159447?refId=aq7ZnkAA4TzzUzUuwCbhpA%3D%3D&trackingId=OyR3BVWWd4K05QMwMd091A%3D%3D&position=23&pageNum=10,Senior SAP FICO Consultant,EPAM Systems,Armenia,Full-time,Mid-Senior level,"Software Development, IT Services and IT Consulting, and Technology, Information and Internet",2026-03-15,,,"We are seeking a highly skilled Senior SAP FICO Consultant with expertise in DRC functionality to join our team. The ideal candidate will play a crucial role in configuring and customizing SAP systems while supporting business processes and ensuring compliance with regional requirements. ResponsibilitiesConfigure and customize the SAP system (S4Hana Cloud On-premise) in FI/CO modules/applications within Roadmap tasks, including preparation of project documentation such as FDD, TS, TPInteract with customers' business users to gather requirements and analyze business needsImplement DRC functionality, including e-invoicing and local reporting configurationCollaborate with cross-functional teams to ensure smooth integration across SAP applicationsProvide support and troubleshooting for SAP FI/CO modules to ensure optimal system performanceTrain business users on SAP FI/CO functionalities and ensure knowledge transferMonitor and ensure compliance with local accounting standards and regulations RequirementsExperience with SAP implementation projects, with a minimum of 3 years of professional working experienceKnowledge of Parallel Accounting with a ledgers-based approach and DRC functionalityProficiency in SAP Financial AccountingExpertise in configuring e-invoicing and local reporting within DRC requirementsBackground in project documentation development, including FDD, TS, and TPFluency in English (both written and spoken) at a minimum B2 level Nice to haveGAAP accounting knowledgeUnderstanding of SAP Business Technology Platform functionalityFamiliarity with SAP Controlling module We offerInternational projects with top brandsWork with global teams of highly skilled, diverse peersHealthcare benefitsEmployee financial programsPaid time off and sick leaveUpskilling, reskilling and certification coursesUnlimited access to the LinkedIn Learning library and 22,000+ coursesGlobal career opportunitiesVolunteer and community involvement opportunitiesEPAM Employee GroupsAward-winning culture recognized by Glassdoor, Newsweek and LinkedIn",IT Support / Admin / ERP
linkedin,aggregator,https://am.linkedin.com/jobs/view/frontline-support-engineer-at-exante-4380965007?refId=AlCHO%2BEyFaMeJ2iIw%2B8K1g%3D%3D&trackingId=pYfOfb59Noq6b6eF3ynxVw%3D%3D&position=19&pageNum=0,Frontline Support Engineer,EXANTE,"Yerevan, Yerevan, Armenia",Full-time,Entry level,Capital Markets,2026-03-04,,,"Company & Culture

EXANTE is a pioneering wealth tech company that delivers cutting-edge centralized trading solutions and robust B2B financial infrastructure, driving value through innovative technology. Our proprietary trading platform provides seamless access to a diverse range of financial instruments, including stocks, ETFs, bonds, futures, and options, all within a single, multi-currency account.

As a rapidly expanding global firm with over 700 talented employees from 70+ nationalities across 70 locations, we are a frontrunner in the financial sector. Our investment priorities are clear: We prioritize investing in our most valuable asset—our people. Join us in shaping the future of finance.

About the Role

We are seeking a Frontline Support Engineer to join our technology department. This is a first-line specialist responsible for the initial response to incidents and requests from internal users and systems. An important point: the role does not involve direct interaction with clients — the main collaboration is with other engineering and operations teams.

Reporting Line: Frontline Support LeadWorksite: Remote

Responsibilities

Support and maintenance of Exante products (front-end and back-end parts of trading software and services)Providing basic technical troubleshooting for external and internal user requestsKeep track of escalated tickets and follow up on their progressFollow standard procedures for proper escalation of unresolved issues to the appropriate internal teamsFollow the SLA for issues with respect to the severityBuild relevant internal documentation Schedule: 5 days a week - Monday to Friday, Switching between morning and evening shifts

Qualifications

1 year work experience in software/services/applications technical support.Hands-on experience with Linux (terminal, system and applications logs, basic diagnostics).Basic knowledge of Kubernetes and Docker technologies.Basic knowledge of computer networks.English starting from intermediate (B1) level.

Nice to Have:

Work experience in FinTech.Basic understanding of investment and trading.Basic automation skills—Python and Bash.Work experience with Atlassian products: Jira, Confluence.

Personality / Mindset

Empathy to the clients requirements.Team player with advanced communication and collaboration skills.A hands-on, can-do attitude—always looking for solutions and thinking outside the box.Strong organisational skills and task prioritisationCapability to work and succeed in a fast-paced and ever-changing environment.

We Offer:

Competitive salary.Remote work.Corporate benefits (choose your preferred options).Truly inspiring culture, pleasant, and informal work environment.Ongoing education & training programs.Opportunity to network and connect in corporate events.Global career opportunities.

Benefits/perks can vary depending on the nature of your employment with the company and the country where you work.

A group of disruptive technology experts created EXANTE. With an impressive track record in the industry and knowledge of the markets, our systems are built to democratize access to global financial instruments for professional traders and institutional investors.

Through our robust, cutting-edge trading platforms, you can offer clients access to comprehensive, global financial instruments and investment possibilities while keeping their data safe and private.

EXANTE is a global prime broker backed by proprietary technology and dedicated service. All regulated group companies and fully controlled affiliates and subsidiaries are committed to compliance with data protection laws, including the GDPR. We process personal data in line with the GDPR principles of fairness, purpose limitation, transparency, data minimisation, storage limitation and deletion, accuracy, confidentiality and integrity, and accountability. We rely on legitimate interests to assess and manage your application, after determining that our interests are not overridden by your rights and interests. You have the rights of access, rectification, data portability, erasure, restriction of processing, and objection to processing. To exercise your rights or contact our Data Protection Officer, please see our GDPR policy at https://exante.eu/gdpr/.

We retain recruitment data only for as long as necessary for the purposes described above, after which it will be securely deleted unless we are required to keep it longer to comply with law or you consent to a longer retention.

Where personal data is transferred outside the EEA, it will be protected to a standard at least equivalent to that sought by the GDPR. Personal data is safeguarded by technical and organisational measures that are reviewed and updated regularly. This website is not intended for individuals under 18 and we do not knowingly collect data relating to children .",IT Support / Admin / ERP
