method,university,program_name,degree_level,role_groups,gap_concept
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/b483124c-180c-4d3a-8b7c-72e4e7a5b49b
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/949ced5f-7536-4614-ac60-563ffc91a2f2
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/7935deb6-0bed-4e38-985e-1f83b8e16940
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/2522a6ce-3202-4ac8-9f5b-b9cb5a3a83a1
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/a4d336a6-9ffd-402a-91cc-f359716ba4e0
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/8b94aa1e-89c9-459d-b3b4-1dfab8dec2df
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/cef5c0f8-1e40-4c09-b6a7-aa7811849e5d
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/b02b38c4-d46d-44da-9479-1310060bd74d
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/3a5b7435-c262-4a9d-893d-ee6c19bd9d92
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/fecf8a0d-62c4-4e71-9b03-0f4fc2ad7bf5
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/55c3e373-243c-47b6-934e-9fe5b6d35ef8
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/1b70a55d-b8a4-49fc-96c6-15ab4cff2522
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/39f9b48c-04b5-4e6f-9c52-3cdb29a5a93b
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/a06a0d41-10fa-4ba7-a988-e8b5eba966fb
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/ed1d8bd4-cd2a-4c64-b665-56d70651026c
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/01e66e1c-97d9-4829-bee1-f3ab649161e8
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/2687dc6e-b245-477a-a115-7abeb7134b78
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/73b4cc3b-3827-4c54-ac54-d912e5cdae21
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/48db96bf-3314-45c6-bad8-fdb6e20e5639
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/5da73370-f6b9-417d-a94c-09bf01f84aa2
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/2c28fc20-8a60-4311-8899-5ef8729c05b3
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/3d427a49-4f85-42cd-8a92-62d4a34f41a1
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/a7f0fbe0-c546-4f30-8e41-34a58c64567e
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/dda26251-7331-41fd-871f-1106ca468189
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/52e53619-fa77-4f72-b237-5e4aae784dc2
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/a46b6220-7313-4b3b-9bdb-cca897aff546
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/e3fcd642-5f9c-48ee-be58-258dd895d281
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/af7ae54f-4649-4c16-87c7-59ba41d4d57f
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/d205b276-7f2b-4831-b22b-01427cb53f36
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/84f583f4-f32a-4202-9b92-e25f0c978410
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/ab6265f2-a9bf-49e8-a9a5-67cbab4de38b
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/41ec47dd-08b3-464a-9c45-c706f3e74467
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/484d048c-a5d1-46a5-b57f-45b69c0ac552
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/de9f85ba-e77f-48fd-8c66-f5ebaf32d655
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/c95c29fe-3971-46b7-80e9-1f7e75ba99b3
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/3ec2e4d6-7000-4905-bf1a-c5b1679416de
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/2b92a5b2-6758-4ee3-9fb4-b6387a55cc8f
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/f4a6e9f7-5cff-46c0-894c-59c20bb78694
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/719d8699-a221-4b5a-8fc3-68a8645cbe03
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/11c56452-fcec-4b00-9695-cca4728e5048
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137
