course_id,university,course_name_en
829,American University of Armenia,Capstone 1
952,National University of Architecture and Construction of Armenia,WEB GIS
954,National University of Architecture and Construction of Armenia,Practice
971,National University of Architecture and Construction of Armenia,Practice
977,National University of Architecture and Construction of Armenia,Russian
979,National University of Architecture and Construction of Armenia,Physics
990,National University of Architecture and Construction of Armenia,Physics
1021,National University of Architecture and Construction of Armenia,Management
1028,National University of Architecture and Construction of Armenia,Philosophy
1029,National University of Architecture and Construction of Armenia,Management
1032,National University of Architecture and Construction of Armenia,Branch Law
1035,National University of Architecture and Construction of Armenia,Russian
1037,National University of Architecture and Construction of Armenia,Physics
1047,National University of Architecture and Construction of Armenia,Physics
1053,National University of Architecture and Construction of Armenia,Physics
1063,National University of Architecture and Construction of Armenia,Management
1072,National University of Architecture and Construction of Armenia,Management
1078,National University of Architecture and Construction of Armenia,Management
1085,National University of Architecture and Construction of Armenia,Philosophy
1086,National University of Architecture and Construction of Armenia,Management
1092,National University of Architecture and Construction of Armenia,Branch Law
1110,National University of Architecture and Construction of Armenia,Practice
1117,Russian-Armenian University,Philosophy
1118,Russian-Armenian University,Calculus
1124,Russian-Armenian University,Databases
1132,Russian-Armenian University,Algorithms
1146,Russian-Armenian University,Physics
1155,Russian-Armenian University,Economics
