experiment,method,input_type,matching,experiment_label,university,program,degree,relevant_roles,n_program_skills,n_job_skills,n_overlap,full_coverage_pct,n_gap,n_surplus,role_coverage_pct,role_n_overlap,role_n_job_skills,role_n_gap,role_n_surplus,core_role_coverage_pct,core_n_job_skills,core_n_overlap,core_n_gap,n_foundational,n_surplus_clean,weighted_core_coverage_pct
TFIDF_names_exact,TFIDF,names,exact,TF-IDF on names (exact),American University of Armenia,Computer Science,Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",48,2513,32,1.27,2481,16,1.27,32.0,2513.0,2481.0,16.0,3.3,394.0,13.0,381.0,9,26.0,14.58
TFIDF_names_exact,TFIDF,names,exact,TF-IDF on names (exact),American University of Armenia,Computer and Information Science,Master,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",56,2513,42,1.67,2471,14,1.67,42.0,2513.0,2471.0,14.0,4.06,394.0,16.0,378.0,5,35.0,14.81
TFIDF_names_exact,TFIDF,names,exact,TF-IDF on names (exact),American University of Armenia,Data Science,Bachelor,Data / ML / AI,34,2513,29,1.15,2484,5,4.3,25.0,582.0,557.0,9.0,25.0,16.0,4.0,12.0,4,26.0,50.84
TFIDF_names_exact,TFIDF,names,exact,TF-IDF on names (exact),American University of Armenia,Engineering Sciences,Bachelor,unmapped,29,2513,13,0.52,2500,16,,,,,,,,,,0,,
TFIDF_names_exact,TFIDF,names,exact,TF-IDF on names (exact),American University of Armenia,Environmental and Sustainability Sciences,Bachelor,unmapped,16,2513,9,0.36,2504,7,,,,,,,,,,0,,
TFIDF_names_exact,TFIDF,names,exact,TF-IDF on names (exact),American University of Armenia,General Education,General,unmapped,19,2513,16,0.64,2497,3,,,,,,,,,,0,,
TFIDF_names_exact,TFIDF,names,exact,TF-IDF on names (exact),American University of Armenia,Industrial Engineering and Systems Management,Master,"IT Support / Admin / ERP, Technical Management",36,2513,19,0.76,2494,17,1.69,10.0,591.0,581.0,26.0,6.25,48.0,3.0,45.0,0,33.0,10.0
TFIDF_names_exact,TFIDF,names,exact,TF-IDF on names (exact),Armenian State Pedagogical University,Informatics,Bachelor,"Software Engineering, IT Support / Admin / ERP",72,2513,33,1.31,2480,39,1.79,27.0,1510.0,1483.0,45.0,6.67,45.0,3.0,42.0,15,54.0,6.13
TFIDF_names_exact,TFIDF,names,exact,TF-IDF on names (exact),Armenian State Pedagogical University,Informatics,Master,"IT Support / Admin / ERP, Software Engineering",21,2513,12,0.48,2501,9,0.73,11.0,1510.0,1499.0,10.0,4.44,45.0,2.0,43.0,2,17.0,4.41
TFIDF_names_exact,TFIDF,names,exact,TF-IDF on names (exact),Armenian State University of Economics,Applied Statistics and Data Science,Master,Data / ML / AI,29,2513,9,0.36,2504,20,1.55,9.0,582.0,573.0,20.0,12.5,16.0,2.0,14.0,2,25.0,12.29
TFIDF_names_exact,TFIDF,names,exact,TF-IDF on names (exact),Armenian State University of Economics,Information Systems,Bachelor,"IT Support / Admin / ERP, Software Engineering",83,2513,57,2.27,2456,26,2.78,42.0,1510.0,1468.0,41.0,6.67,45.0,3.0,42.0,3,77.0,9.07
TFIDF_names_exact,TFIDF,names,exact,TF-IDF on names (exact),Armenian State University of Economics,Information Technology in Business,Master,"IT Support / Admin / ERP, Technical Management, Software Engineering",35,2513,21,0.84,2492,14,1.08,18.0,1669.0,1651.0,17.0,5.26,57.0,3.0,54.0,2,30.0,3.52
