experiment,experiment_label,university,program,degree,relevant_roles,n_program_skills,n_job_skills,n_overlap,full_coverage_pct,role_coverage_pct,role_n_overlap,role_n_job_skills,n_gap,n_surplus
E1_tfidf,E1: TF-IDF baseline,American University of Armenia,Computer Science,Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",53,2862,33,1.15,1.15,33.0,2862.0,2829,20
E1_tfidf,E1: TF-IDF baseline,American University of Armenia,Computer and Information Science,Master,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",61,2862,43,1.5,1.5,43.0,2862.0,2819,18
E1_tfidf,E1: TF-IDF baseline,American University of Armenia,Data Science,Bachelor,Data / ML / AI,35,2862,30,1.05,4.0,25.0,625.0,2832,5
E1_tfidf,E1: TF-IDF baseline,American University of Armenia,Engineering Sciences,Bachelor,"Hardware / Embedded, Software Engineering",29,2862,13,0.45,0.66,10.0,1522.0,2849,16
E1_tfidf,E1: TF-IDF baseline,American University of Armenia,Environmental and Sustainability Sciences,Bachelor,unmapped,18,2862,9,0.31,,,,2853,9
E1_tfidf,E1: TF-IDF baseline,American University of Armenia,General Education,General,unmapped,19,2862,16,0.56,,,,2846,3
E1_tfidf,E1: TF-IDF baseline,American University of Armenia,Industrial Engineering and Systems Management,Master,"IT Support / Admin / ERP, Technical Management",36,2862,19,0.66,1.59,10.0,627.0,2843,17
E1_tfidf,E1: TF-IDF baseline,National Polytechnic University of Armenia,Computer Engineering,Bachelor,"Hardware / Embedded, Software Engineering",25,2862,16,0.56,0.85,13.0,1522.0,2846,9
E1_tfidf,E1: TF-IDF baseline,National Polytechnic University of Armenia,Computer Engineering,Master,"Hardware / Embedded, Software Engineering",21,2862,11,0.38,0.59,9.0,1522.0,2851,10
E1_tfidf,E1: TF-IDF baseline,National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",37,2862,18,0.63,0.63,18.0,2862.0,2844,19
E1_tfidf,E1: TF-IDF baseline,National Polytechnic University of Armenia,Informatics (Computer Science),Master,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",28,2862,12,0.42,0.42,12.0,2862.0,2850,16
E1_tfidf,E1: TF-IDF baseline,National Polytechnic University of Armenia,Information Security,Bachelor,Security,31,2862,20,0.7,5.31,6.0,113.0,2842,11
E1_tfidf,E1: TF-IDF baseline,National Polytechnic University of Armenia,Information Systems,Bachelor,"IT Support / Admin / ERP, Software Engineering",27,2862,23,0.8,1.19,20.0,1677.0,2839,4
E1_tfidf,E1: TF-IDF baseline,National Polytechnic University of Armenia,Information Systems,Master,"IT Support / Admin / ERP, Software Engineering",25,2862,18,0.63,0.78,13.0,1677.0,2844,7
