university,program,degree,gap_skill,job_frequency,relevant_roles
American University of Armenia,Computer Science,Bachelor,F5,1,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design"
American University of Armenia,Computer Science,Bachelor,Terraform,25,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design"
American University of Armenia,Computer Science,Bachelor,Appium,3,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design"
American University of Armenia,Computer Science,Bachelor,Software Composition Analysis,1,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design"
American University of Armenia,Computer Science,Bachelor,Security Controls,1,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design"
American University of Armenia,Computer Science,Bachelor,Prometheus,7,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design"
American University of Armenia,Computer Science,Bachelor,Adobe After Effects,1,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design"
American University of Armenia,Computer Science,Bachelor,SQL,103,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design"
American University of Armenia,Computer Science,Bachelor,Calibre LVS,2,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design"
American University of Armenia,Computer Science,Bachelor,UI/UX QA,1,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design"
American University of Armenia,Computer Science,Bachelor,Palo Alto Networks,1,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design"
American University of Armenia,Computer Science,Bachelor,Screenshot Design,1,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design"
American University of Armenia,Computer Science,Bachelor,SAP Logistics,6,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design"
American University of Armenia,Computer Science,Bachelor,REST APIs,120,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design"
American University of Armenia,Computer Science,Bachelor,Model Context Protocol,4,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design"
American University of Armenia,Computer Science,Bachelor,Data Protection,1,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design"
