original,canonical,original_freq,canonical_freq
3D Graphics Computer,3D Graphics,1,8
3D Graphics In,3D Graphics,1,8
Administration And,Administration,1,6
Agile Business,Agile,2,86
Algebra Computer,Computer Algebra,1,1
Algebra Computer Science,Computer Algebra,1,1
Algorithms Business Information,Algorithms Business,1,1
Analysis Business,Business Analysis,1,15
Analysis Business Information,Business Analysis,1,15
Analysis Business Intelligence,Business Intelligence,1,52
Analysis Mathematical Foundations,Mathematical Foundations,1,41
Analysis Of,Analysis,1,154
Analysis Of Business,Business Analysis,1,15
Analysis Statistical Analysis,Statistical Analysis,5,126
Analysis Statistical Modeling,Statistical Modeling,1,59
Analysis Statistics,Statistics,1,141
Analysis Using Gis,Gis Analysis,1,2
Analytics Business,Analytics,1,66
Analytics Business Intelligence,Business Intelligence,1,52
Analytics and Data,Analytics,9,66
Android Development Business,Android Development,1,22
Applications Mobile,Mobile Applications,1,24
Applications Mobile Development,Mobile Development,1,40
Applied Programming In,Applied Programming,1,1
Applied Statistics And,Applied Statistics,4,18
Applied Statistics For,Applied Statistics,1,18
Architecture Computer Architecture,Computer Architecture,1,94
Architecture Computer Hardware,Computer Architecture,1,94
Boolean,Boolean Logic,2,9
Boolean Algebra Computer,Boolean Algebra,2,85
Business Analysis Business,Business Analysis,1,15
Business Analytics,Analytics,52,66
Business Analytics Business,Business Analytics and Data,1,17
Business Digital,Digital Business,6,36
Business Digital Transformation,Digital Transformation,6,30
Business Information Systems,Information Systems,97,146
Business Intelligence Data,Business Intelligence,1,52
Business Intelligence In,Business Intelligence,1,52
Business Intelligence Systems,Business Intelligence,1,52
Business Management And,Business Management,2,4
Business Master With,Business Master,3,4
Business Process,Business Processes,1,4
Business Process Modeling,Process Modeling,5,32
Business Risks In,Business Risks,1,1
Business Statistical,Statistics In Business,1,5
Business Strategy And,Business Strategy,1,10
Business Strategy In,Business Strategy,1,10
Business Strategy So,Business Strategy,1,10
Cloud Computing Cloud,Cloud Computing,1,83
Cloud Technologies In,Cloud Technologies,1,5
Collections,Collection,2,2
Complexity Data Structures,Complexity Structure,1,1
Computational Complexity,Computational Complexity Theory,5,81
Computer Architecture Computer,Computer Architecture,1,94
Computer Architecture In,Computer Architecture,1,94
Computer Hardware,Hardware,10,39
Computer Information Systems Program,Information Systems Computer,1,2
Computer Modeling Computer,Computer Modeling,1,13
Computer Modeling In,Computer Modeling,1,13
Computer Networks,Computer Networking,22,144
Computer Networks And,Computer Networks and Information,1,2
Computer Networks Computer,Computer Networking,1,144
Computer Science Cybersecurity,Cybersecurity,1,57
Computer Science Education,Computer Science,5,299
Computer Science Educational,Computer Science,2,299
Computer Science Graphics,Graphics Computer Science,1,2
Computer Science Informatics,Informatics,22,149
Computing Cloud Platforms,Cloud Platforms,1,41
Cpu,Processor,1,12
Cpu Architecture Computer,Computer Architecture,1,94
Cybersecurity Informatics Information,Cybersecurity Information,1,2
Cybersecurity Information Security,Cybersecurity,1,57
Data Analysis Data,Data Analysis,3,173
Data Business Information,Data Business,1,2
Data Collection And,Data Collection,1,35
Data Driven Decision,Data-Driven Decision Making,3,8
Data Driven Decision Making,Data-Driven Decision Making,5,8
Data Mining And,Data Mining,1,39
Data Mining Data,Data Mining,1,39
Data Processing Data,Data Processing,1,32
Data Quality,Data Quality Analysis,6,10
Data Science In,Data Science,2,154
Data Science Research,Data Science,1,154
Data Structures And,Data Structures,1,166
Data Structures and Functions,Data Structures,1,166
Data-Driven,Data Driven,1,8
Database Management Information,Database Management,1,76
Database Management Systems,Database Management,1,76
Databases In,Databases,1,121
Databases In The,Databases,1,121
Databases SQL,SQL Database,2,4
Design UX,UX Design,1,32
Design UX Design,UX Design,1,32
Design User Interface,User Interface Design,1,28
Development Web Development,Web Development,3,102
Digital Business Digital,Digital Business,2,36
Digital Business In,Digital Business,1,36
Digital Business Management,Digital Business,1,36
Discrete Mathematics Graph,Discrete Mathematics and Graph Theory,1,1
Discrete Mathematics In,Discrete Mathematics,1,118
Driven Decision Making,Driven Decision,2,5
E Commerce,E-Commerce,10,12
Educational,Education,4,7
Educational Technologies,Educational Technology,4,24
Electronic Educational Systems,Electronic Educational,1,1
Evaluation,Evaluating,1,5
Evaluation Of,Evaluating,1,5
Financial Statistics Monetary,Monetary Statistics,1,5
Forecasting Python Statistical,Forecasting Python,1,1
Geographic Information Systems,Geographic Information Systems (GIS),1,63
Gis Geographic,Geographic Information Systems (GIS),1,63
Gis Geographic Information,Geographic Information Systems (GIS),1,63
Gis Systems,Geographic Information Systems (GIS),1,63
