course_id,university,course_name,has_description,llm_skills,rater_verdict,notes
840,American University of Armenia,Environmental Geology Lab,True,"['Contaminant Analysis', 'Geological Mapping', 'Groundwater Monitoring', 'Laboratory Data Interpretation', 'Rock and Mineral Identification', 'Soil Sampling', 'Stratigraphic Analysis']",,
862,American University of Armenia,Applied Statistics for Engineers,True,"['Descriptive Statistics', 'Experimental Design', 'Hypothesis Testing', 'Probability Theory', 'Regression Analysis', 'Statistical Inference', 'Statistical Process Control']",,
795,American University of Armenia,Introduction to Programming,True,"['Basic Input/Output', 'Control Flow', 'Debugging', 'Functions', 'Loops', 'Python', 'Variables and Data Types']",,
897,American University of Armenia,Advanced Object-Oriented Programming,True,"['Design Patterns', 'Encapsulation', 'Inheritance Polymorphism', 'Object-Oriented Programming', 'Refactoring', 'SOLID Principles', 'UML Diagrams']",,
707,American University of Armenia,Human Computer Interaction (HCI),True,"['Accessibility Standards', 'Interaction Design', 'Prototyping', 'Usability Evaluation', 'User Interface Design', 'User Research', 'Wireframing']",,
1546,Armenian State Pedagogical University,Intelligent Information Systems,False,"['Artificial Intelligence', 'Expert Systems', 'Knowledge Representation', 'Machine Learning']",,
1535,Armenian State Pedagogical University,Numerical Methods,False,"['Numerical Methods', 'Optimization', 'Python', 'Scientific Computing']",,
1531,Armenian State Pedagogical University,3D Graphics,False,"['3D Graphics', 'Computer Graphics', 'Data Visualization']",,
1541,Armenian State Pedagogical University,Information Security Basics,False,"['Access Control', 'Cybersecurity', 'Information Security', 'Network Security', 'Risk Management']",,
1527,Armenian State Pedagogical University,Operating Systems,False,"['Linux', 'Memory Management', 'Operating Systems', 'Process Management']",,
1512,Armenian State University of Economics,Statistical Analysis and Evaluation of Business Strategy,False,['Statistical Analysis And Evaluation Of Business Strategy'],,
1499,Armenian State University of Economics,Programming Technologies-1 (Python),False,"['Algorithms', 'Debugging', 'Object-Oriented Programming', 'Python', 'Software Development']",,
1500,Armenian State University of Economics,Digital Business Management Systems,False,"['Digital Business', 'Digital Transformation', 'E-Commerce', 'Information Systems']",,
1511,Armenian State University of Economics,Qualitative Methods in Business,False,['Qualitative Methods In Business'],,
1509,Armenian State University of Economics,Geographical and Spatial Analysis (using GIS Systems),False,"['Data Visualization', 'Geographic Information Systems (GIS)', 'Spatial Analysis']",,
1366,National Polytechnic University of Armenia,Servers of Computing Systems and Networks,False,"['Client-Server Architecture', 'DNS and DHCP', 'Linux', 'Network Configuration', 'Server Administration', 'Storage Management', 'TCP/IP', 'Virtualization']",,
1382,National Polytechnic University of Armenia,Business Modeling,False,"['Business Process Model and Notation', 'Data Flow Diagrams', 'Entity-Relationship Diagrams', 'Process Modeling', 'Requirements Analysis', 'Systems Analysis', 'UML']",,
1327,National Polytechnic University of Armenia,Big Data,False,"['Apache Hive', 'Apache Spark', 'Data Pipelines', 'Distributed Computing', 'HDFS', 'Hadoop', 'MapReduce', 'NoSQL Databases']",,
1417,National Polytechnic University of Armenia,Systems Analysis and Mathematical Models of Processes,False,"['Control Theory', 'Differential Equations', 'Linear Algebra', 'Mathematical Modeling', 'Modelling & Simulation', 'Optimization', 'Systems Analysis']",,
1248,National Polytechnic University of Armenia,Applied Differential Geometry,False,"['Curvature Analysis', 'Differential Forms', 'Differential Manifolds', 'Riemannian Geometry', 'Tensor Calculus', 'Topology', 'Vector Fields']",,
1014,National University of Architecture and Construction of Armenia,Data Base Design Technologies,False,"['Database Design', 'Database Normalization', 'Entity-Relationship Modeling', 'Query Optimization', 'SQL', 'Transaction Management']",,
998,National University of Architecture and Construction of Armenia,Fundamentls of Electrical Engineering,False,"['AC/DC Circuit Theory', 'Capacitors and Inductors', 'Circuit Analysis', ""Kirchhoff's Laws"", ""Ohm's Law"", 'Operational Amplifiers', 'Thévenin and Norton Theorems']",,
963,National University of Architecture and Construction of Armenia,High Performance Computing Systems,False,"['CUDA', 'Cache Optimization', 'Cluster Computing', 'Distributed Computing', 'Message Passing Interface (MPI)', 'OpenMP', 'Parallel Programming', 'Performance Profiling']",,
