course_id,university,program_name,program_code,degree_level,course_code,course_name,course_name_original,credits,component,semester,description,prerequisites,assessment,academic_year,source_url,source_language,notes
1,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Information Technologies in the Professional Field (Python),Տեղեկատվական տեխնոլոգիաները մասնագիտական ոլորտում (Փայթն),3.0,General,1.0,"·Application of the fundamentals of the Python programming language, ·working with data, variables, arrays, functions, and control flows, introducing international practices of data visualization through Python and teaching how to create one's own visualizations based on real data.",,Attestation,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
2,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Strategic Planning,Ռազմավարական պլանավորում,3.0,General,1.0,"- Develop students' knowledge of strategic planning.  
- Enable students to apply various methods of strategic planning.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
3,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Mathematical Methods and Calculations for Data Analysis (in English),Տվյալների վերլուծության մաթեմատիկական մեթոդներ և հաշվարկներ (անգլերեն լեզվով),6.0,Professional,1.0,"- To develop an understanding among students about economic-mathematical modeling and its applications, 
- To teach the fundamentals of the mathematical theory of optimization and the main methods for solving extremal problems.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
4,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Mathematics and Probability Theory for Data Scientists,Մաթեմատիկա և հավանականությունների տեսություն տվյալագետների համար,6.0,Professional,1.0,"- To develop a probabilistic mindset that will help students build probabilistic models and concepts from various sections of applied statistics. 
- To present the main properties of functions, their elementary functions, graphs, and the concepts of limits, continuity, derivatives, and the applications of definite and indefinite integrals.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
5,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Business Processes and Data Visualization,Բիզնես գործընթացները և տվյալների վիզուալիզացիա,3.0,Professional,1.0,"- Introduce the student to data analysis visualization methods, 
- Develop the skill to apply visualization techniques in practical problems.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
6,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Database Management,Տվյալների բազաների կառավարում,6.0,Professional,1.0,"- Present the fundamentals of database management and their application in economics. 
- Familiarize with the modeling of databases, the query construction language SQL, methods for designing database management systems, relational and NoSQL databases, and the study of ETL and OLAP systems, as well as the application of the acquired theoretical knowledge.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
7,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Data Mining Technology,Data Mining տեխնոլոգիա,3.0,Professional,2.0,"- Introduce the student to the fundamental concepts, theoretical and practical principles of data intelligence analysis. 
- Teach students to apply the methods of data intelligence analysis to solve practical problems.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
8,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Machine Learning,Մեքենայական ուսուցում,6.0,Professional,2.0,"- Introduce students to the characteristics of machine learning by providing general knowledge about machine learning and teaching them to differentiate between its varieties. 
- Develop students' professional skills by presenting the main models of machine learning, the learning algorithms, and utilizing well-known libraries.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
9,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Neural Networks and Deep Learning,Նեյրոնային ցանցեր և խորը ուսուցում,6.0,Professional,2.0,"- Introduce students to the main elements of intelligent systems and teach them to differentiate between their varieties. 
- Develop students' professional skills by presenting the basic models of neural networks and the fundamental elements of learning algorithms.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
10,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Data Warehouses and Pipeline (Data Warehouse and Pipeline),Տվյալների շտեմարաններ և խողովակագիծ (Data Warehouse and Pipline),6.0,Professional,2.0,"- By applying NoSQL data models, introduce students to the architecture and design of data repositories. 
- Teach practical skills in data cleaning, ETL processes (Extract, Transform, Load), and the construction of reliable data pipelines.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
11,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Applications of Large Language Models,Մեծ լեզվային մոդելների կիրառումներ (Large Language Model Applications),6.0,Professional,2.0,"- Introduce students to the fundamental concepts and applications of large language models (LLMs). 
- Teach practical skills for prompt engineering, using the LangChain toolkit, and model fine-tuning.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
12,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Distributed Systems for Data Engineering,Բաշխված համակարգերը տվյալների ինժիներիայի համար (Distributed Systems for Data Engineering),3.0,Professional,3.0,"- Introduce students to the fundamental principles and architecture of distributed systems in the context of big data processing. 
- Teach practical skills for the design, implementation, and management of distributed systems.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
13,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Computer Vision,Համակարգչային տեսողություն (Computer vision),3.0,Professional,3.0,"- Introduce students to approaches for image recognition using computer vision techniques. 
- Develop students' professional skills regarding the applications of image recognition methods in various artificial intelligence problems.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
14,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Cloud Systems Management and Information Security,Ամպային համակարգերի կառավարում և տեղեկատվական անվտանգություն,3.0,Professional,3.0,"- Present the fundamental distributed computing ""concepts"" regarding cloud systems, as well as the principles of operation of the most widely used cloud systems. 
- Present the fundamental ideas of information security in cloud and local environments and their effective application methods.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
15,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Generative Model Applications,Գեներատիվ մոդելների կիրառումներ (Generative Model Applications),3.0,Professional,3.0,"- Introduce students to the fundamental concepts and applications of generative models. 
- Teach practical skills related to the application of autoencoders, generative adversarial networks (GAN), latent and stable diffusion models, large language models (LLMs), and the advanced capabilities of ChatGPT.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
16,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Bayesian Statistics,Բայեսյան վիճակագրություն,3.0,Professional,3.0,·Develop students' professional skills by providing in-depth training on various methods and models of Bayesian statistics. ·Enable students to apply the analytical methods of Bayesian statistics in data science and machine learning.,,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
17,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Consumer Behavior,Սպառողի վարքագիծ,3.0,Professional,3.0,"- To teach students the elements of social psychology, its impact on consumer behavior, and generally on economic relations, 
- To teach the application of big data and data science approaches for predicting consumer behavior.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
18,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Econometrics and Time Series for Data Scientists,Էկոնոմետրիկա և ժամանակային շարքեր տվյալագետների համար,3.0,Professional,2.0,"Develop students' professional skills by providing in-depth training on the application of various methods and models of time series econometrics. Familiarize them with the time series models used in data science and machine learning for calculation and forecasting, utilizing modern statistical and econometric methods.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
19,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Big Data Technologies,Մեծ տվյալների տեխնոլոգիաներ,3.0,Professional,2.0,"- To familiarize students with the tools and technologies used for big data analysis. 
- To teach the application of these technologies in solving practical problems.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
20,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Technological Entrepreneurship,Տեխնոլոգիական ձեռներեցություն,3.0,Professional,2.0,"- Develop students' professional competencies through in-depth study of the principles of technological entrepreneurship, innovation, and management. 
- Present modern mechanisms and models used worldwide for the implementation of innovative processes in the technological sector.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
21,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Economics for Data Scientists,Տնտեսագիտություն տվյալագետների համար,3.0,Professional,2.0,"·to further complete and deepen students' knowledge in the field of micro and macroeconomics, ·to develop skills in the application of mathematical methods and models in economic research.",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
22,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Professional Practice,Մասնագիտական պրակտիկա,3.0,Other,3.0,"The purpose of the professional practice is to: ·develop professional skills and experience through practical work, as well as the ability to work independently in the professional field ·apply the theoretical knowledge acquired in practice, as well as gain professional skills, abilities, and experience.",,Attestation,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,
