source_url,degree_type,speciality,program_name,academic_year,component,chair_code,course_name_original,credits
https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Master,031101.19.7 - Տնտեսագիտություն,Data Science in Business,2025/2026,General educational component,1002,Տեղեկատվական տեխնոլոգիաները մասնագիտական ոլորտում (Փայթն),3
https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Master,031101.19.7 - Տնտեսագիտություն,Data Science in Business,2025/2026,General educational component,1002,Ռազմավարական պլանավորում,3
https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Master,031101.19.7 - Տնտեսագիտություն,Data Science in Business,2025/2026,Professional educational component,1002,Տվյալների վերլուծության մաթեմատիկական մեթոդներ և հաշվարկներ (անգլերեն լեզվով),6
https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Master,031101.19.7 - Տնտեսագիտություն,Data Science in Business,2025/2026,Professional educational component,1002,Մաթեմատիկա և հավանականությունների տեսություն տվյալագետների համար,6
https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Master,031101.19.7 - Տնտեսագիտություն,Data Science in Business,2025/2026,Professional educational component,1002,Բիզնես գործընթացները և տվյալների վիզուալիզացիա,3
https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Master,031101.19.7 - Տնտեսագիտություն,Data Science in Business,2025/2026,Professional educational component,1002,Տվյալների բազաների կառավարում,6
https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Master,031101.19.7 - Տնտեսագիտություն,Data Science in Business,2025/2026,Professional educational component,1002,Data Mining տեխնոլոգիա,3
https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Master,031101.19.7 - Տնտեսագիտություն,Data Science in Business,2025/2026,Professional educational component,1002,Մեքենայական ուսուցում,6
https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Master,031101.19.7 - Տնտեսագիտություն,Data Science in Business,2025/2026,Professional educational component,1002,Նեյրոնային ցանցեր և խորը ուսուցում,6
https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Master,031101.19.7 - Տնտեսագիտություն,Data Science in Business,2025/2026,Professional educational component,1002,Տվյալների շտեմարաններ և խողովակագիծ (Data Warehouse and Pipline),6
