course_id,university,program_name,program_code,degree_level,course_code,course_name,course_name_original,credits,component,semester,description,prerequisites,assessment,academic_year,source_url,source_language,notes,course_name_en,description_en
1,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Տեղեկատվական տեխնոլոգիաները մասնագիտական ոլորտում (Փայթն),,3.0,General,1.0,"·«Փայթն» ծրագրավորման լեզվի հիմունքների կիրառում, ·աշխատել տվյալների, փոփոխականների, զանգվածների, ֆունկցիաների և վերահսկվող հոսքերի հետ, ծանոթացնել «Փայթնի» միջոցով տվյալների վիզուալիզացման միջազգային փորձին և սովորեցնել ստեղծել սեփական վիզուալիզացումները հիմնված իրական տվյալների վրա:",,Attestation,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Information Technologies in the Professional Field (Python),"·Application of the fundamentals of the Python programming language, ·working with data, variables, arrays, functions, and control flows, introducing international practices of data visualization through Python and teaching how to create one's own visualizations based on real data."
2,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Ռազմավարական պլանավորում,,3.0,General,1.0,·զարգացնել ուսանողների ռազմավարական պլանավորման գիտելիքները ·ուսանողներին ունակ դարձնել կիրառել ռազմավարական պլանավորման տարբեր մեթոդներ:,,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Strategic Planning,"- Develop students' knowledge of strategic planning.  
- Enable students to apply various methods of strategic planning."
3,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Տվյալների վերլուծության մաթեմատիկական մեթոդներ և հաշվարկներ (անգլերեն լեզվով),,6.0,Professional,1.0,"·ուսանողների մոտ ձևավորել պատկերացում տնտեսամաթեմատիկական մոդելավորման և դրա կիրառությունների մասին, ·սովորեցնել օպտիմիզացիայի մաթեմատիկական տեսության հիմնադրույթներն ու էքստրեմալ խնդիրների լուծման հիմնական եղանակները։",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Mathematical Methods and Calculations for Data Analysis (in English),"- To develop an understanding among students about economic-mathematical modeling and its applications, 
- To teach the fundamentals of the mathematical theory of optimization and the main methods for solving extremal problems."
4,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Մաթեմատիկա և հավանականությունների տեսություն տվյալագետների համար,,6.0,Professional,1.0,"·ձևավորել հավանականային մտածելակերպ, որը կօգնի ուսանողներին կառուցել հավանականային մոդելներ և գաղափարներ կիրառական վիճակագրության տարբեր բաժիններից: ·ներկայացնել ֆունկցիաների հիմնական հատկությունները, նրանց տարրական ֆունկցիաները, գրաֆիկները և նրանց սահմանների, անընդհատության, ածանցյալի գաղափարները, անորոշ և որոշյալ ինտեգրալների կիրառությունները։",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Mathematics and Probability Theory for Data Scientists,"- To develop a probabilistic mindset that will help students build probabilistic models and concepts from various sections of applied statistics. 
- To present the main properties of functions, their elementary functions, graphs, and the concepts of limits, continuity, derivatives, and the applications of definite and indefinite integrals."
5,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Բիզնես գործընթացները և տվյալների վիզուալիզացիա,,3.0,Professional,1.0,"·ծանոթացնել ուսանողին տվյալների վերլուծության վիզուալիզացիոն մեթոդներին, ·ձևավորել վիզուալիզացիոն տեխնիկաների՝ գործնական խնդիրներում կիրառելու հմտություն:",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Business Processes and Data Visualization,"- Introduce the student to data analysis visualization methods, 
- Develop the skill to apply visualization techniques in practical problems."
6,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Տվյալների բազաների կառավարում,,6.0,Professional,1.0,"·ներկայացնել տվյալների բազաների կառավարման հիմունքները և դրանց կիրառությունը տնտեսագիտությունում: ·ծանոթացնել տվյալների բազաների մոդելավորման, հարցումնների կառուցման լեզվի՝ SQL-ի, տվյալների բազայի կառավարման համակարգերի նախագծման մեթոդների, ռելացիոն և NoSQL տվյալների բազաների, ETL, OLAP համակարգերի ուսումնասիրությանը և ստացված տեսական գիտելիքների կիրառմանը:",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Database Management,"- Present the fundamentals of database management and their application in economics. 
- Familiarize with the modeling of databases, the query construction language SQL, methods for designing database management systems, relational and NoSQL databases, and the study of ETL and OLAP systems, as well as the application of the acquired theoretical knowledge."
7,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Data Mining տեխնոլոգիա,,3.0,Professional,2.0,"·ծանոթացնել ուսանողին տվյալների ինտելեկտուալ վերլուծության հիմնական հասկացություններին, տեսական և գործնական սկզբունքներին։ ·սովորեցնել ուսանողներին կիրառել տվյալների ինտելեկտուալ վերլուծության մեթոդները գործնական խնդիրներ լուծելու համար։",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Data Mining Technology,"- Introduce the student to the fundamental concepts, theoretical and practical principles of data intelligence analysis. 
- Teach students to apply the methods of data intelligence analysis to solve practical problems."
8,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Մեքենայական ուսուցում,,6.0,Professional,2.0,"·ծանոթացնել ուսանողներին մեքենայական ուսուցման առանձնահատկությունների հետ՝ տրամադրելով ընդհանրական գիտելիքներ մեքենայական ուսուցման վերաբերյալ, սովորեցնել տարբերել դրանց տարատեսակները։ ·զարգացնել ուսանողների մասնագիտական կարողությունները՝ ներկայացնելով մեքենայական ուսուցման հիմնական մոդելները, ուսուցման ալգորիթմները և օգտվել հայտնի գրադարաններից։",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Machine Learning,"- Introduce students to the characteristics of machine learning by providing general knowledge about machine learning and teaching them to differentiate between its varieties. 
- Develop students' professional skills by presenting the main models of machine learning, the learning algorithms, and utilizing well-known libraries."
9,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Նեյրոնային ցանցեր և խորը ուսուցում,,6.0,Professional,2.0,"·ծանոթացնել ուսանողներին խելացի համակարգերի հիմնական տարրերի հետ, սովորեցնել տարբերել դրանց տարատեսակները։ ·զարգացնել ուսանողների մասնագիտական կարողությունները՝ ներկայացնելով նեյրոնային ցանցերի հիմնական մոդելները, ուսուցման ալգորիթմները սկզբնական տարրերը։",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Neural Networks and Deep Learning,"- Introduce students to the main elements of intelligent systems and teach them to differentiate between their varieties. 
- Develop students' professional skills by presenting the basic models of neural networks and the fundamental elements of learning algorithms."
10,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Տվյալների շտեմարաններ և խողովակագիծ (Data Warehouse and Pipline),,6.0,Professional,2.0,"·կիրառելով NoSQL տվյալների մոդելներ, ծանոթացնել ուսանողներին տվյալների շտեմարանների ճարտարապետությանն ու նախագծմանը։ ·ուսուցանել գործնական հմտություններ՝ տվյալների մաքրման, ETL գործընթացների (տվյալների ստացում, ձևափոխում և ներբեռնում) և տվյալների հուսալի խողովակագծերի կառուցման խնդրիներում։",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Data Warehouses and Pipeline (Data Warehouse and Pipeline),"- By applying NoSQL data models, introduce students to the architecture and design of data repositories. 
- Teach practical skills in data cleaning, ETL processes (Extract, Transform, Load), and the construction of reliable data pipelines."
