university,program_name,degree_level,component,course_name_original,course_name_english,chair_code,credits,hours_per_week,semester,study_year,program_duration,course_description,source_url
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Թուրքերեն-2,Turkish-2,1803,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Փիլիսոփայություն,Philosophy,1311,3,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Էկոլոգիայի և բնապահպանության հիմունքներ,Ecology and Environmental Protection Fundamentals,708,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Ռուսաց լեզու-2,Russian Language-2,1705,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Հայոց պատմություն 2,Armenian History 2,1106,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Հայոց պատմություն 1,Armenian History 1,1106,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,իրավիճակներում բնակչության առաջին,Civil Defense and First Aid in Emergency Situations,2,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,իրավիճակներում բնակչության առաջին,Civil Defense and First Aid in Emergency Situations,2,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Ֆրանսերեն-2,French-2,1608,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Չինարեն-2,Chinese-2,1205,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Հայոց լեզու և խոսքի մշակույթ-1,Armenian Language and Speech Culture-1,1401,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Գերմաներեն-2,German-2,1604,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Անգլերեն-2,English-2,1602,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Ֆրանսերեն-1,French-1,1608,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Չինարեն-1,Chinese-1,1205,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Թուրքերեն-1,Turkish-1,1803,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Գերմաներեն-1,German-1,1604,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Անգլերեն-1,English-1,1602,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Ռուսաց լեզու-1,Russian Language-1,1705,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Հայոց լեզու և խոսքի մշակույթ-2,Armenian Language and Speech Culture-2,1401,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Մեդիագրագիտություն,Media Literacy,,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Բարոյագիտության հիմունքներ,Ethics Fundamentals,1302,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Բնագիտության ժամանակակից հայեցակարգեր,Modern Concepts of Natural Science,604,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Գործարարության հիմունքներ,Entrepreneurship Fundamentals,1005,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Իրավունքի հիմունքներ,Fundamentals of Law,1901,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Կիրառական վիճակագրություն,Applied Statistics,105,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Կրոնագիտության հիմունքներ,Religious Studies Fundamentals,2101,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Հաղորդակցման հմտություններ,Communication Skills,1306,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Հոգեբանության հիմունքներ,Psychology Fundamentals,1308,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Անգլերեն-3,English-3,1602,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Մշակութաբանության հիմունքներ,,1107,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
Yerevan State University,Informatics and Applied Mathematics,Bachelor,General,Ռուսաց լեզու-3,Russian Language-3,1705,2,,,,,,https://ysu.am/en/faculty/85/educational-program-305/edu-plan
