source,source_url,job_title,company_name,location,department,posting_date,full_text
softconstruct,https://peopleforce.softconstruct.com/careers/v/2493-golang-developer,Golang Developer,SoftConstruct,Yerevan,Popok Department / Պոպոկ բաժին,,"Golang Developer
Are you GAME to JOIN US
and be our new Golang Developer?
We are seeking a highly motivated Golang Engineer who has minimum of 3 years of experience as a Golang Developer. The ideal candidate will have strong analytical thinking and problem-solving approach, willingness to learn and apply new technologies and development tools, creativity and innovative thinking to propose novel solutions to complex problems.
Responsibilities
Do research with deep, high-quality skills
Write scalable, robust, testable, efficient, and easily maintainable code
Participate in architectural and design decisions, contributing to the development of efficient microservices distributed architecture
Carry out other duties assigned by the immediate supervisor that align with the job description and comply with the labor code
Requirements
3 years + experience with the GO lang development
Strong knowledge of Go programming language, paradigms, constructs, and idioms
Knowledge of common Go routine and channel patterns
Go’s templating language
Ability to write clean and effective Godoc comments
Familiarity with code versioning tools {{such as Git}}
Department
Popok Department / Պոպոկ բաժին
Location
Yerevan"
softconstruct,https://peopleforce.softconstruct.com/careers/v/2490-customer-support-specialist-arabic-and-english-languages,Customer Support Specialist (Arabic and English Languages),SoftConstruct,Yerevan,Customer Support / Հաճախորդների Սպասարկման Բաժին,,"Customer Support Specialist (Arabic and English Languages)
Are you GAME to JOIN US and be our new Customer Support Specialist in the Arabic and English Languages?
SoftConstruct is on a search for a new player to join our team.
This is a full-time position with a mixed shift working schedule.
Working hours :
3 shifts (mandatory)
1. 10:00 - 18:00
2. 18:00 - 02:00
3. 02:00 - 10:00
Responsibilities
Deliver customer service through online and phone support
Provide solutions to customers with the help of supervisors from different departments
Provide detailed information about websites, procedures, payments, and requests
Translate database information about registered bets
Requirements
Bachelor’s or Master’s degree in Linguistics, or related field
At least a year of experience in customer support
Excellent knowledge of the Arabic and English languages
Knowledge of any other foreign language is an advantage
Excellent listening and communication skills
Customer service skills
Ability to work under strict deadlines and pressure
Ability to work as part of a team
Ability to be patient and understanding
Ability to work in flexible
shifts and on-site
Problem-Solving and Critical Thinking
Time Management and Prioritization
Do you like to learn hard, work hard and play hard
?
Do you imagine better things, technologies, and the future?
If you answered “Yes” to at least two of these questions then we might be a great fit for you.
Department
Customer Support / Հաճախորդների Սպասարկման Բաժին
Location
Yerevan"
softconstruct,https://peopleforce.softconstruct.com/careers/v/2485-middle-hr-administrative-specialist-vbet,Middle HR Administrative Specialist / VBET,SoftConstruct,Yerevan,VBET Human Resources Department / Վբեթ Մարդկային Ռեսուրսների Բաժին,,"Middle HR Administrative Specialist / VBET
About the Company:
VBET is an award-winning sports betting and gaming operator with 20 years of experience in the industry powered in-house by Bet Construct. We hold over 10 licenses and operate in over 120 countries. VBET’s mission is to give our customers the best betting and gaming experience in a safe and secure environment.
Key Responsibilities:
Organize and oversee the entire administrative part of  hiring process, from signing employment contracts and agreements to preparing dismissal documents.
Process vacation requests and related documentation.
Track and calculate employee work schedules.
Maintain and update employee personal files.
Register and dismiss employees in the tax system.
Organize the employment contract termination process, including processing termination agreements/orders and entering data into relevant systems.
Develop and prepare HR reports upon management's request.
Support teammates in adapting to work processes and tools.
Requirements:
Bachelor’s degree in Human Resources, Business Administration, or a related field (preferred, but not required).
2+ years of hands-on experience in an HR administrative department.
Good knowledge of MS Office (Excel, Word, Outlook, etc.) for creating basic reports and performing calculations.
Basic mathematical skills.
Excellent command of the native language.
Good knowledge of English and Russian.
Solid understanding of labor legislation.
Expert knowledge of HR management systems and tools (e.g., Peopleforce, Eve, AS Wages, AMG Attendance, TaxService, Jira) for comprehensive HR administrative processes.
Personal Skills:
Competent communication skills to communicate with and provide support to employees.
Attention to detail to accurately complete work assignments.
Confidentiality to maintain confidentiality of personal information.
Adaptability to adapt and adjust to a rapidly changing environment.
Willingness to learn job responsibilities and work tools.
Ability to manage multiple projects simultaneously.
Demonstrated ability to receive and provide constructive feedback.
Perks and Benefits:
Competitive experience-based salary
Family health insurance
Social events, corporate parties
4 paid days off during a year
Learning and Development
Transportation
Department
VBET Human Resources Department / Վբեթ Մարդկային Ռեսուրսների Բաժին
Location
Yerevan"
softconstruct,https://peopleforce.softconstruct.com/careers/v/2483-customer-support-specialist-armenian-and-english-languages,Customer Support Specialist (Armenian and English Languages),SoftConstruct,Yerevan,Customer Support / Հաճախորդների Սպասարկման Բաժին,,"Customer Support Specialist (Armenian and English Languages)
Are you GAME to JOIN US and be our new Customer Support Specialist in the Armenian and English Languages?
SoftConstruct is on a search for a new player to join our team.
This is a full-time position with a mixed shift working schedule.
Working hours :
3 shifts (mandatory)
1. 10:00 - 18:00
2. 18:00 - 02:00
3. 02:00 - 10:00
Responsibilities
Deliver customer service through online and phone support
Provide solutions to customers with the help of supervisors from different departments
Provide detailed information about websites, procedures, payments, and requests
Translate database information about registered bets
Requirements
Bachelor’s or Master’s degree in Linguistics, or related field
At least a year of experience in customer support
Excellent knowledge of the Armenian and English languages
Knowledge of any other foreign language is an advantage
Excellent listening and communication skills
Customer service skills
Ability to work under strict deadlines and pressure
Ability to work as part of a team
Ability to be patient and understanding
Ability to work in flexible
shifts and on-site
Problem-Solving and Critical Thinking
Time Management and Prioritization
Do you like to learn hard, work hard and play hard
?
Do you imagine better things, technologies, and the future?
If you answered “Yes” to at least two of these questions then we might be a great fit for you.
Department
Customer Support / Հաճախորդների Սպասարկման Բաժին
Location
Yerevan"
softconstruct,https://peopleforce.softconstruct.com/careers/v/2482-billing-and-partner-netting-specialist,Billing and Partner Netting Specialist,SoftConstruct,Yerevan,Billing and Partner Netting Department / Բիլինգի և Գործընկերների Փոխհաշվարկների Բաժին,,"Billing and Partner Netting Specialist
Are you GAME to JOIN US and be our new Accounting and Reporting Specialist?
SoftConstruct is on a search for a new player to join our team.
Responsibilities
Process and manage invoices and settlements for partners
Ensure timely and accurate execution of partner netting transactions
Reconcile financial data, ensuring correct payment and revenue allocation
Monitor and analyze discrepancies in billing and settlements
Generate financial reports related to partner accounts and payment status
Support budgeting and forecasting related to partner billing
Ensure compliance with company policies, IFRS, and local tax regulations
Maintain accurate records of partner agreements, invoices, and settlements
Assist with internal and external audits by providing necessary documentation
Identify and implement process improvements to enhance efficiency and accuracy
Collaborate with finance, legal, and operational teams to streamline partner netting processes
Support automation initiatives to optimize billing workflows
Carry out other duties assigned by the immediate supervisor that align with the job description and comply with the labor code
Requirements
Bachelor's degree in Accounting, Finance, or a related field
At least 2-3 years of experience in billing, financial reporting, or partner settlements
Strong understanding of billing, partner settlements, and financial reconciliation
Proficiency in financial software (e.g., SAP, Excel, Power BI)
Excellent analytical and problem-solving skills
Fluency in Armenian and English
Do you like to learn hard, work hard and play hard
?
Do you imagine better things, technologies, future?
If you answered “Yes” to at least two of these questions, then we might be a great fit for you
Department
Billing and Partner Netting Department / Բիլինգի և Գործընկերների Փոխհաշվարկների Բաժին
Location
Yerevan"
softconstruct,https://peopleforce.softconstruct.com/careers/v/2481-customer-support-specialist-french-language,Customer Support Specialist (French Language),SoftConstruct,Yerevan,Customer Support / Հաճախորդների Սպասարկման Բաժին,,"Customer Support Specialist (French Language)
Are you GAME to JOIN US
and be our new Customer Support Specialist in the French Language?
SoftConstruct is on a search for a new player to join our team.
This is a full-time position with a mixed shift working schedule.
Working hours :
3 shifts (mandatory)
1. 10:00 - 18:00
2. 18:00 - 02:00
3. 02:00 - 10:00
Responsibilities
Deliver customer service through online and phone support
Provide solutions to customers with the help of supervisors from different departments
Provide detailed information about websites, procedures, payments, and requests
Translate database information about registered bets
Requirements
Bachelor’s or Master’s degree in Linguistics, or related field
At least a year of experience in customer support
Excellent knowledge of the French language, spoken and written
Excellent knowledge of any other foreign language is an advantage
Excellent listening and communication skills
Customer service skills
Ability to work under strict deadlines and pressure
Ability to work as part of a team
Ability to be patient and understanding
Ability to work in flexible
shifts and on-site
Problem-Solving and Critical Thinking
Time Management and Prioritization
Do you like to learn hard, work hard and play hard
?
Do you imagine better things, technologies, and the future?
If you answered “Yes” to at least two of these questions then we might be a great fit for you.
Department
Customer Support / Հաճախորդների Սպասարկման Բաժին
Location
Yerevan"
softconstruct,https://peopleforce.softconstruct.com/careers/v/2480-quality-monitoring-specialist-turkish-language,Quality Monitoring Specialist (Turkish Language),SoftConstruct,Yerevan,Internal Monitoring Department / Ներքին Վերահսկողության Բաժին,,"Quality Monitoring Specialist (Turkish Language)
Are you GAME to JOIN US and be our new Quality Monitoring Specialist (Turkish Language)?
SoftConstruct is on a search for a new player to join our team!
Responsibilities
Analyze monitoring data, generate reports, and provide insights on trends, patterns, and potential risks
Utilize monitoring tools, analytics, and investigative techniques to identify and investigate potential fraudulent activities or suspicious processes
Monitor and ensure compliance with relevant regulations, policies, and industry best practices
Continuously assess and improve monitoring processes, tools, and methodologies to enhance detection capabilities and stay ahead of emerging threats and risks
Carry out other duties assigned by the immediate supervisor that align with the job description and comply with the labor code
Requirements
Bachelor's degree in Business Administration, Information Technology, or a related field
Minimum 2 years of working experience in process management, monitoring, customer support, risk assessment, finance or audit is appreciated
Experience in Quality monitoring
Experience with Jira or similar project management tools
Exhibit expertise in analyzing complex data
Turkish language is required
English language good knowledge
Strong attention to detail to ensure accurate monitoring, analysis, and reporting of suspicious activities or security incidents.
Detail-oriented
Excellent analytical and problem-solving skills
Department
Internal Monitoring Department / Ներքին Վերահսկողության Բաժին
Location
Yerevan"
softconstruct,https://peopleforce.softconstruct.com/careers/v/2479-netc-software-engineer,.NET/C# Software Engineer,SoftConstruct,Yerevan,Spring Platform (Former Back office) / Սփրինգ Պլատֆորմ,,".NET/C# Software Engineer
Are you GAME to
JOIN US and be our new .NET/C# Software Engineer?
SoftConstruct is on a search for a new player to join our team.
Responsibilities
Develop, test, debug, implement, and document software programs according to technical requirements
Modify and maintain existing company products and internal/client systems to fulfill business needs
Analyze, evaluate, and enhance current system functionality and performance
Participate in the design and development of microservice-based components and scalable architectures
Write clear, efficient, and maintainable code using the C# language and .NET technologies
Design and implement database schemas, queries, and optimizations using SQL Server and/or NoSQL databases
Collaborate with other team members in a cross-functional Agile development environment
Create and execute test plans to verify the accuracy and functionality of applications
Support CI/CD processes and maintain version-controlled code using Git or Subversion
Document development processes and contribute to technical knowledge-sharing within the team
Requirements
Bachelor’s degree in Computer Science, Software Engineering, Information Technology, or a related technical field
At least 3 years of experience as a Software Developer using C# and .NET technologies
Strong knowledge and hands-on experience with C# .NET Framework, ASP.NET, Entity Framework, and MSSQL Server
Solid understanding of Object-Oriented Programming (OOP), Design Patterns, and Microservices Architecture
Working knowledge of .NET Core, ASP.NET Web API, WPF, and Xamarin (as a plus)
Familiarity with SQL, MSSQL, and/or NoSQL database technologies
Experience using version control systems such as Git or Subversion
Understanding of software testing principles; experience with Test-Driven Development (TDD) is a plus
Ability to work independently or in a collaborative team environment under project-based deadlines
Do you like to learn hard, work hard and play hard?
Do you imagine better things, technologies, future?
If you answered “Yes” to at least two of these questions then we might be a great fit for you.
Department
Spring Platform (Former Back office) / Սփրինգ Պլատֆորմ
Location
Yerevan"
softconstruct,https://peopleforce.softconstruct.com/careers/v/2476-operations-coordinator,Operations Coordinator,SoftConstruct,Yerevan,Business Development Department / Բիզնեսի Զարգացման Բաժին,,"Operations Coordinator
Are you GAME to
JOIN US and be our new Operations Manager?
SoftConstruct is on a search for a new player to join our team.
Responsibilities
Coordinate and monitor daily business operations across the department
Support process improvement initiatives to enhance efficiency and productivity
Liaise with internal teams (Sales, Finance, HR, Customer Support, etc.) to ensure alignment
Support project management activities and the implementation of new systems or tools
Identify operational risks and escalate issues when necessary
Maintain compliance with company policies and regulatory requirements
Deliver verbal instructions, meeting notes, and deal requirements from the Head of BD into actionable Jira tickets
Maintain clean documentation within Jira/Confluence to ensure every project has a clear history and status
Act as the bridge between internal departments
Help manage high-priority communications and ensure the Head of BD is prepped with briefing notes before key meetings
Requirements
Bachelor's degree in Business, Administration, or related role
2+ years in an Operations, Project Coordination, or Executive Support role (preferably in a tech or fast-paced environment)
Good organization and communication skills
Strong time management and prioritization skills
Flexible, adaptive, and quick learner
Fluency in English and the Armenian language
Do you like to learn hard, work hard, and play hard
?
Do you imagine better things, technologies, future?
If you answered “Yes” to at least two of these questions, then we might be a great fit for you.
Department
Business Development Department / Բիզնեսի Զարգացման Բաժին
Location
Yerevan"
softconstruct,https://peopleforce.softconstruct.com/careers/v/2475-2d-artist,2D Artist,SoftConstruct,Yerevan,Pascal Gaming Product Design Team / Պասկալ Գեյմինգի պրոդուկտ դիզայնի թիմ,,"2D Artist
Are you GAME to
JOIN US and be our new 2D Artist for Pascal Gaming?
SoftConstruct is on a search for a new player to join our team.
As a 2D Artist at Pascal Gaming, you won't just be drawing; you’ll be building worlds. You will be responsible for the full visual lifecycle of game assets, from conceptual ideation to final production-ready files. We are looking for an artist who embraces modern technology—specifically Generative AI—to accelerate workflows without compromising on original style or artistic integrity.
Responsibilities
Design high-quality 2D assets, including characters, environments, UI elements, and game symbols that align with the project’s art direction
Leverage AI tools (e.g., Midjourney, Stable Diffusion, Adobe Firefly) for rapid prototyping, concept exploration, and texture generation to optimize production timelines
Stay ahead of the curve by researching visual trends in the iGaming and broader gaming industry to ensure our products remain fresh and competitive
Participate in project reviews, provide constructive feedback to peers, and work closely with animators and developers to ensure assets are functional and optimized for game engines
Maintain visual consistency across different game titles while adhering to technical specifications and brand guidelines
Requirements
A strong, professional portfolio demonstrating mastery of 2D digital art, composition, color theory, and anatomy
Excellent proficiency in the Adobe Creative Suite (specifically Photoshop and Illustrator)
Experience using AI-assisted tools in a professional capacity to enhance creativity and efficiency (e.g., prompt engineering for concept art, AI-driven upscaling, or texture generation)
Experience in storyboarding or UI/UX design
Understanding of layer management, asset naming conventions, and preparing files for 2D animation (e.g., Spine or After Effects)
Proven experience in game development, specifically within the online casino or social gaming sectors
Ability to adapt to various art styles, from realistic and gritty to casual and vibrant
Do you like to learn hard, work hard, and play hard
?
Do you imagine better things, technologies, future?
If you answered “Yes” to at least two of these questions, then we might be a great fit for you.
Department
Pascal Gaming Product Design Team / Պասկալ Գեյմինգի պրոդուկտ դիզայնի թիմ
Location
Yerevan"
