source,source_url,job_title,company_name,location,posting_date,deadline_date,employment_type,specialist_level,description,jsonld_raw
staff.am,https://staff.am/en/jobs/software-development/front-end-developer-965,Front end developer,ACRA CREDIT REPORTING CJSC,Yerevan,2026-03-20,2026-04-19T00:00:00.000Z,Full time,Senior,"We are seeking a skilled Front-End Developer to join our team. In this role, you will be responsible for building user-friendly, responsive, and visually appealing platforms. You will collaborate closely with designers, backend developers, and product managers to bring ideas to life and ensure an excellent user experience.","{""@context"": ""https://schema.org"", ""@type"": ""JobPosting"", ""title"": ""Front end developer"", ""description"": ""<p>We are seeking a skilled Front-End Developer to join our team. In this role, you will be responsible for building user-friendly, responsive, and visually appealing platforms. You will collaborate closely with designers, backend developers, and product managers to bring ideas to life and ensure an excellent user experience.</p>\n"", ""validThrough"": ""2026-04-19T00:00:00.000Z"", ""employmentType"": ""Full time"", ""hiringOrganization"": {""@type"": ""Organization"", ""name"": ""ACRA CREDIT REPORTING CJSC"", ""sameAs"": ""https://staff.am/company/ampquotacra-credit-reportingampquot-cjsc"", ""logo"": ""https://cdn.staff.am/staff.am/upload/a/9/8/3/a983cf48.png""}, ""jobLocation"": {""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""streetAddress"": ""Elite Plaza Business Center, 9th floor, Movses Khorenatsi street"", ""postalCode"": ""Elite Plaza Business Center, 9th floor, Movses Khorenatsi street"", ""addressLocality"": ""Yerevan"", ""addressCountry"": ""AM""}}}"
staff.am,https://staff.am/en/jobs/software-development/senior-and-mid-aspnet-web-developer-10,Senior and Mid ASP.NET Web Developer,EarnHCM LLC,Yerevan,2026-03-19,2026-04-18T00:00:00.000Z,Full time,Senior,"California-based AMGtime and sister company EarnHCM in the human capital management industry is looking for a few talented Senior and Mod level  ASP.NET Web developers. The ideal candidates will be motivated, and capable of working on companie's product and/or become a product leader while maintaining a high quality of work. Compensation is competitive dependent on experience.","{""@context"": ""https://schema.org"", ""@type"": ""JobPosting"", ""title"": ""Senior and Mid ASP.NET Web Developer"", ""description"": ""<p>California-based AMGtime and sister company EarnHCM in the human capital management industry is looking for a few talented Senior and Mod level  ASP.NET Web developers. The ideal candidates will be motivated, and capable of working on companie's product and/or become a product leader while maintaining a high quality of work. Compensation is competitive dependent on experience.</p>\n\n<p> </p>\n"", ""validThrough"": ""2026-04-18T00:00:00.000Z"", ""employmentType"": ""Full time"", ""hiringOrganization"": {""@type"": ""Organization"", ""name"": ""EarnHCM LLC"", ""sameAs"": ""https://staff.am/company/earnhcm-llc"", ""logo"": ""https://cdn.staff.am/staff.am/upload/4/a/0/f/4a0fd265.png""}, ""jobLocation"": {""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""streetAddress"": ""2 Arshakunyats Ave"", ""postalCode"": ""2 Arshakunyats Ave"", ""addressLocality"": ""Yerevan"", ""addressCountry"": ""AM""}}}"
staff.am,https://staff.am/en/jobs/software-development/net-developer-569,.Net Developer,Acba Bank OJSC ,Yerevan,2026-03-19,2026-04-18T00:00:00.000Z,Full time,Senior,Acba bank is looking for a .Net Developer (Middle+) to join our team,"{""@context"": ""https://schema.org"", ""@type"": ""JobPosting"", ""title"": "".Net Developer"", ""description"": ""<p>Acba bank is looking for a .Net Developer (Middle+) to join our team</p>\n"", ""validThrough"": ""2026-04-18T00:00:00.000Z"", ""employmentType"": ""Full time"", ""hiringOrganization"": {""@type"": ""Organization"", ""name"": ""Acba Bank OJSC "", ""sameAs"": ""https://staff.am/company/acba-bank-ojsc"", ""logo"": ""https://cdn.staff.am/staff.am/upload/c/3/2/5/c325db85.jpg""}, ""jobLocation"": {""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""streetAddress"": ""82 Arami poghots"", ""postalCode"": ""82 Arami poghots"", ""addressLocality"": ""Yerevan"", ""addressCountry"": ""AM""}}}"
staff.am,https://staff.am/en/jobs/software-development/generative-ai-engineer-19,Generative AI Engineer,BostonGene Technologies,Yerevan,2026-03-19,2026-04-17T00:00:00.000Z,Full time,Senior,"About BostonGene
Since our inception in Boston in 2015, we've led the charge in oncology personal healthcare, offering an extensive array of diagnostic tools that empower clinical decisions and advance patient care. Our culture is our foundation—fueled by innovation, a commitment to transformation, and a team of authentic, driven individuals worldwide. At BostonGene, you'll find a community that's not just about the work but about making a difference, together. Join us to be a part of a future where your work contributes to transformative cancer treatments and shapes the lives of patients globally. We develop a distributed information and analytical system that provides oncologists with the necessary data for diagnosis and personalized treatment of patients.
Position Summary
We are seeking a Generative AI Engineer to specialize in biological data, including RNA-seq, Digital Pathology (Multiplexed Immunofluorescence, Hematoxylin, and Eosin staining) and other types of biological data. In this role, you will develop and implement single-modality encoders (e.g., VAE, LIAE, DINOv2) and multimodal deep learning models (e.g., Stable Diffusion based and/or DDPM) using this data. The position also involves interpreting complex biological data and ensuring adherence to Good Clinical Practice (GCP) and Good Laboratory Practice (GCLP) standards.","{""@context"": ""https://schema.org"", ""@type"": ""JobPosting"", ""title"": ""Generative AI Engineer"", ""description"": ""<p><strong>About BostonGene</strong></p>\n\n<p>Since our inception in Boston in 2015, we've led the charge in oncology personal healthcare, offering an extensive array of diagnostic tools that empower clinical decisions and advance patient care. Our culture is our foundation—fueled by innovation, a commitment to transformation, and a team of authentic, driven individuals worldwide. At BostonGene, you'll find a community that's not just about the work but about making a difference, together. Join us to be a part of a future where your work contributes to transformative cancer treatments and shapes the lives of patients globally. We develop a distributed information and analytical system that provides oncologists with the necessary data for diagnosis and personalized treatment of patients.</p>\n\n<p> </p>\n\n<p><strong>Position Summary</strong></p>\n\n<p>We are seeking a Generative AI Engineer to specialize in biological data, including RNA-seq, Digital Pathology (Multiplexed Immunofluorescence, Hematoxylin, and Eosin staining) and other types of biological data. In this role, you will develop and implement single-modality encoders (e.g., VAE, LIAE, DINOv2) and multimodal deep learning models (e.g., Stable Diffusion based and/or DDPM) using this data. The position also involves interpreting complex biological data and ensuring adherence to Good Clinical Practice (GCP) and Good Laboratory Practice (GCLP) standards.</p>\n"", ""validThrough"": ""2026-04-17T00:00:00.000Z"", ""employmentType"": ""Full time"", ""hiringOrganization"": {""@type"": ""Organization"", ""name"": ""BostonGene Technologies"", ""sameAs"": ""https://staff.am/company/bostongene-technologies"", ""logo"": ""https://cdn.staff.am/staff.am/upload/2/8/8/9/28891283.png""}, ""jobLocation"": {""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""streetAddress"": ""Barekamutyun Business Center"", ""postalCode"": ""Barekamutyun Business Center"", ""addressLocality"": ""Yerevan"", ""addressCountry"": ""AM""}}}"
staff.am,https://staff.am/en/jobs/software-development/react-native-developer-316,React Native Developer ,Fnet Telecom,Yerevan,2026-03-18,2026-04-17T00:00:00.000Z,Full time,Senior,"Մեր թիմը համալրվում է, փնտրում ենք միջին մակարդակի React Native ծրագրավորող, ով կմիանա մեր թիմին և կօգնի ստեղծել ժամանակակից, բարձր արդյունավետությամբ մոբայլ հավելվածներ։","{""@context"": ""https://schema.org"", ""@type"": ""JobPosting"", ""title"": ""React Native Developer "", ""description"": ""<p>Մեր թիմը համալրվում է, փնտրում ենք միջին մակարդակի React Native ծրագրավորող, ով կմիանա մեր թիմին և կօգնի ստեղծել ժամանակակից, բարձր արդյունավետությամբ մոբայլ հավելվածներ։</p>\n"", ""validThrough"": ""2026-04-17T00:00:00.000Z"", ""employmentType"": ""Full time"", ""hiringOrganization"": {""@type"": ""Organization"", ""name"": ""Fnet Telecom"", ""sameAs"": ""https://staff.am/company/family-network"", ""logo"": ""https://cdn.staff.am/staff.am/upload/e/7/b/c/e7bced6c.jpg""}, ""jobLocation"": {""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""streetAddress"": ""19 Yervand Kochar St"", ""postalCode"": ""19 Yervand Kochar St"", ""addressLocality"": ""Yerevan"", ""addressCountry"": ""AM""}}}"
staff.am,https://staff.am/en/jobs/software-development/junior-middle-front-end-and-back-end-developers-28,"Junior, Middle Front-end, and Back-end Developers ",Arnology LLC,Yerevan,2026-03-18,2026-04-17T00:00:00.000Z,Full time,Senior,"Arnology LLC is seeking passionate and talented
Junior, Middle Front-end, and Back-end Developers
to join our growing team. In this role, you will collaborate with a team of experienced professionals to develop cutting-edge applications and contribute to projects that solve real-world problems. Whether you are just starting your journey in tech or are an experienced developer, we have opportunities tailored to your skill level and career aspirations.","{""@context"": ""https://schema.org"", ""@type"": ""JobPosting"", ""title"": ""Junior, Middle Front-end, and Back-end Developers "", ""description"": ""<p>Arnology LLC is seeking passionate and talented <strong>Junior, Middle Front-end, and Back-end Developers</strong> to join our growing team. In this role, you will collaborate with a team of experienced professionals to develop cutting-edge applications and contribute to projects that solve real-world problems. Whether you are just starting your journey in tech or are an experienced developer, we have opportunities tailored to your skill level and career aspirations.</p>\n"", ""validThrough"": ""2026-04-17T00:00:00.000Z"", ""employmentType"": ""Full time"", ""hiringOrganization"": {""@type"": ""Organization"", ""name"": ""Arnology LLC"", ""sameAs"": ""https://staff.am/company/arnology-llc"", ""logo"": ""https://cdn.staff.am/staff.am/upload/8/1/f/4/81f4f9e6.png""}, ""jobLocation"": {""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""addressLocality"": ""Yerevan"", ""addressCountry"": ""AM""}}}"
staff.am,https://staff.am/en/jobs/software-development/lead-igaming-product-manager,Lead iGaming Product Manager,Luminex Technology ,Yerevan,2026-03-18,2026-04-17T00:00:00.000Z,Full time,Senior,"We are seeking a
Senior iGaming Product Manager (Lead)
to shape and execute the strategy, development, and optimization of our gaming products. The ideal candidate combines
deep product expertise, market insight, and leadership
skills to drive innovation, growth, and player satisfaction.
You will oversee the full product lifecycle and collaborate with cross-functional teams to deliver engaging, high-quality gaming experiences.","{""@context"": ""https://schema.org"", ""@type"": ""JobPosting"", ""title"": ""Lead iGaming Product Manager"", ""description"": ""<p><span style=\""color:#000000;\"">We are seeking a </span><span style=\""color:#000000;\""><strong>Senior iGaming Product Manager (Lead)</strong></span><span style=\""color:#000000;\""> to shape and execute the strategy, development, and optimization of our gaming products. The ideal candidate combines </span><span style=\""color:#000000;\""><strong>deep product expertise, market insight, and leadership</strong></span><span style=\""color:#000000;\""> skills to drive innovation, growth, and player satisfaction.<br />\nYou will oversee the full product lifecycle and collaborate with cross-functional teams to deliver engaging, high-quality gaming experiences.</span></p>\n\n<p> </p>\n"", ""validThrough"": ""2026-04-17T00:00:00.000Z"", ""employmentType"": ""Full time"", ""hiringOrganization"": {""@type"": ""Organization"", ""name"": ""Luminex Technology "", ""sameAs"": ""https://staff.am/company/luminex-technology"", ""logo"": ""https://cdn.staff.am/staff.am/upload/0/8/9/2/0892b3f3.jpg""}, ""jobLocation"": {""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""streetAddress"": ""Amiryan Street"", ""postalCode"": ""Amiryan Street"", ""addressLocality"": ""Yerevan"", ""addressCountry"": ""AM""}}}"
staff.am,https://staff.am/en/jobs/software-development/full-stack-tech-lead-igaming-10,Full-Stack Tech Lead (iGaming),Luminex Technology ,Yerevan,2026-03-18,2026-04-17T00:00:00.000Z,Full time,Senior,"We are looking for an experienced
Full-Stack Tech Lead
to lead the development of next-generation, high-performance iGaming products used by players worldwide.
In this role, you will lead both backend and frontend teams, shaping architecture and delivering real-time, interactive gaming experiences at scale.
Why join us?
Work on high-load, real-time systems with real-world scale
Own technical decisions and influence architecture
Build games played by thousands of players worldwide daily
Be part of a fast-growing and innovative iGaming company","{""@context"": ""https://schema.org"", ""@type"": ""JobPosting"", ""title"": ""Full-Stack Tech Lead (iGaming)"", ""description"": ""<p><span style=\""color:#000000;\"">We are looking for an experienced </span><span style=\""color:#000000;\""><strong>Full-Stack Tech Lead</strong></span><span style=\""color:#000000;\""> to lead the development of next-generation, high-performance iGaming products used by players worldwide.<br />\nIn this role, you will lead both backend and frontend teams, shaping architecture and delivering real-time, interactive gaming experiences at scale.</span></p>\n\n<p><span style=\""color:#000000;\""><strong>Why join us?</strong></span></p>\n\n<ul>\n\t<li><span style=\""color:#000000;\"">Work on high-load, real-time systems with real-world scale</span></li>\n\t<li><span style=\""color:#000000;\"">Own technical decisions and influence architecture</span></li>\n\t<li><span style=\""color:#000000;\"">Build games played by thousands of players worldwide daily</span></li>\n\t<li><span style=\""color:#000000;\"">Be part of a fast-growing and innovative iGaming company</span></li>\n</ul>\n"", ""validThrough"": ""2026-04-17T00:00:00.000Z"", ""employmentType"": ""Full time"", ""hiringOrganization"": {""@type"": ""Organization"", ""name"": ""Luminex Technology "", ""sameAs"": ""https://staff.am/company/luminex-technology"", ""logo"": ""https://cdn.staff.am/staff.am/upload/0/8/9/2/0892b3f3.jpg""}, ""jobLocation"": {""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""streetAddress"": ""Amiryan Street"", ""postalCode"": ""Amiryan Street"", ""addressLocality"": ""Yerevan"", ""addressCountry"": ""AM""}}}"
staff.am,https://staff.am/en/jobs/software-development/senior-power-bi-developer-1,Senior Power BI Developer,SoftConstruct,Yerevan,2026-03-18,2026-04-17T00:00:00.000Z,Full time,Senior,"The Management Reporting & Financial Analysis team is expanding to enhance the organization's data-driven decision-making capabilities. This role centers on the architecture of robust finance semantic models and the design of high-impact executive dashboards. The position offers an opportunity to bridge technical data engineering with financial storytelling, ensuring accuracy, performance, and usability in monthly reporting cycles.","{""@context"": ""https://schema.org"", ""@type"": ""JobPosting"", ""title"": ""Senior Power BI Developer"", ""description"": ""<p><span style=\""color:#000000;\"">The Management Reporting & Financial Analysis team is expanding to enhance the organization's data-driven decision-making capabilities. This role centers on the architecture of robust finance semantic models and the design of high-impact executive dashboards. The position offers an opportunity to bridge technical data engineering with financial storytelling, ensuring accuracy, performance, and usability in monthly reporting cycles.</span></p>\n"", ""validThrough"": ""2026-04-17T00:00:00.000Z"", ""employmentType"": ""Full time"", ""hiringOrganization"": {""@type"": ""Organization"", ""name"": ""SoftConstruct"", ""sameAs"": ""https://staff.am/company/softconstruct"", ""logo"": ""https://cdn.staff.am/staff.am/upload/1/0/6/5/1065d734.jpg""}, ""jobLocation"": {""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""streetAddress"": ""Գարեգին Հովսեփյան 20"", ""postalCode"": ""Գարեգին Հովսեփյան 20"", ""addressLocality"": ""Yerevan"", ""addressCountry"": ""AM""}}}"
staff.am,https://staff.am/en/jobs/software-development/senior-netc-software-engineer-6,Senior .NET/C# Software Engineer,SoftConstruct,Yerevan,2026-03-17,2026-04-16T00:00:00.000Z,Full time,Senior,"Are you GAME to
JOIN US and be our new Senior .NET/C# Software Engineer?
SoftConstruct is on a search for a new player to join our team.","{""@context"": ""https://schema.org"", ""@type"": ""JobPosting"", ""title"": ""Senior .NET/C# Software Engineer"", ""description"": ""<p><span style=\""color:#a61f67;\""><strong>Are you GAME to </strong><strong>JOIN US and be our new Senior .NET/C# Software Engineer?</strong></span><br />\n<strong>SoftConstruct is on a search for a new player to join our team.</strong></p>\n"", ""validThrough"": ""2026-04-16T00:00:00.000Z"", ""employmentType"": ""Full time"", ""hiringOrganization"": {""@type"": ""Organization"", ""name"": ""SoftConstruct"", ""sameAs"": ""https://staff.am/company/softconstruct"", ""logo"": ""https://cdn.staff.am/staff.am/upload/1/0/6/5/1065d734.jpg""}, ""jobLocation"": {""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""streetAddress"": ""Գարեգին Հովսեփյան 20"", ""postalCode"": ""Գարեգին Հովսեփյան 20"", ""addressLocality"": ""Yerevan"", ""addressCountry"": ""AM""}}}"
